"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"161","0.6595","0.6595","0.6595","0.718","0.718","0.718","0.197","0.197","0.197"
"162","0.7405","0.7405","0.7405","0.7315","0.7315","0.7315","0.203","0.203","0.203"
"163","0.6875","0.6875","0.6875","0.7595","0.7595","0.7595","0.2025","0.2025","0.2025"
"164","0.7785","0.7785","0.7785","0.7335","0.7335","0.7335","0.2105","0.2105","0.2105"
"165","0.653","0.653","0.653","0.7485","0.7485","0.7485","0.207","0.207","0.207"
"166","0.677","0.677","0.677","0.737","0.737","0.737","0.21","0.21","0.21"
"167","0.7055","0.7055","0.7055","0.7795","0.7795","0.7795","0.2035","0.2035","0.2035"
"168","0.7805","0.7805","0.7805","0.761","0.761","0.761","0.207","0.207","0.207"
"169","0.7335","0.7335","0.7335","0.77","0.77","0.77","0.2035","0.2035","0.2035"
"170","0.706","0.706","0.706","0.7755","0.7755","0.7755","0.2005","0.2005","0.2005"
"171","0.718","0.718","0.718","0.7775","0.7775","0.7775","0.2035","0.2035","0.2035"
"172","0.738","0.738","0.738","0.7465","0.7465","0.7465","0.199","0.199","0.199"
"173","0.753","0.753","0.753","0.7335","0.7335","0.7335","0.208","0.208","0.208"
"174","0.78","0.78","0.78","0.7665","0.7665","0.7665","0.202","0.202","0.202"
"175","0","0","0","0","0","0","0.0035","0.0035","0.0035"
"176","0.6175","0.6175","0.6175","0.756","0.756","0.756","0.078","0.078","0.078"
"177","0.6265","0.6265","0.6265","0.787","0.787","0.787","0.1555","0.1555","0.1555"
"178","0.6725","0.6725","0.6725","0.764","0.764","0.764","0.186","0.186","0.186"
"179","0.6615","0.6615","0.6615","0.7615","0.7615","0.7615","0.2085","0.2085","0.2085"
"180","0.6765","0.6765","0.6765","0.84","0.84","0.84","0.23","0.23","0.23"
"181","0.7155","0.7155","0.7155","0.847","0.847","0.847","0.2285","0.2285","0.2285"
"182","0.737","0.737","0.737","0.8185","0.8185","0.8185","0.24","0.24","0.24"
"183","0.6705","0.6705","0.6705","0.826","0.826","0.826","0.2315","0.2315","0.2315"
"184","0.6935","0.6935","0.6935","0.844","0.844","0.844","0.2465","0.2465","0.2465"
"185","0.704","0.704","0.704","0.8485","0.8485","0.8485","0.243","0.243","0.243"
