"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"543","0.245","0.245","0.245","","","","0.2375","0.2375","0.2375"
"545","0.2465","0.2465","0.2465","","","","","",""
"547","","","","","","","0.237","0.237","0.237"
"549","","","","","","","0.242","0.242","0.242"
"550","0.0165","0.0165","0.0165","","","","","",""
"554","","","","","","","0.085","0.085","0.085"
"556","","","","0.1605","0.1605","0.1605","","",""
"566","","","","","","","0.2265","0.2265","0.2265"
"568","","","","","","","0.2305","0.2305","0.2305"
"573","","","","","","","0.243","0.243","0.243"
"575","","","","","","","0","0","0"
"579","0.1055","0.1055","0.1055","","","","","",""
"587","0.1875","0.1875","0.1875","","","","","",""
"589","0.1985","0.1985","0.1985","","","","0.1975","0.1975","0.1975"
"592","0.2045","0.2045","0.2045","","","","","",""
"594","","","","0.199","0.199","0.199","0.2055","0.2055","0.2055"
"597","","","","0.195","0.195","0.195","","",""
"599","","","","","","","0.2125","0.2125","0.2125"
"602","0.001","0.001","0.001","","","","","",""
"603","","","","","","","0.04","0.04","0.04"
"605","","","","0.1365","0.1365","0.1365","0.1545","0.1545","0.1545"
"606","","","","","","","0.169","0.169","0.169"
"609","0.204","0.204","0.204","","","","0.2025","0.2025","0.2025"
"610","","","","","","","0.208","0.208","0.208"
"611","0.2125","0.2125","0.2125","","","","","",""
"612","","","","0.2015","0.2015","0.2015","","",""
"615","0.2215","0.2215","0.2215","","","","","",""
"621","","","","","","","0.248","0.248","0.248"
"622","","","","","","","0.2455","0.2455","0.2455"
"629","","","","0.1305","0.1305","0.1305","","",""
"637","0.2095","0.2095","0.2095","0.2065","0.2065","0.2065","0.2185","0.2185","0.2185"
"642","","","","0.2145","0.2145","0.2145","0.2365","0.2365","0.2365"
"643","0.233","0.233","0.233","","","","","",""
"645","","","","0.23","0.23","0.23","","",""
"648","0.251","0.251","0.251","","","","","",""
"651","0.0115","0.0115","0.0115","","","","","",""
"653","0.0585","0.0585","0.0585","0.0565","0.0565","0.0565","0.059","0.059","0.059"
"655","0.126","0.126","0.126","","","","","",""
"656","0.1565","0.1565","0.1565","","","","","",""
"657","0.1725","0.1725","0.1725","","","","","",""
"660","","","","0.204","0.204","0.204","","",""
"661","","","","0.209","0.209","0.209","","",""
"664","","","","","","","0.227","0.227","0.227"
"665","","","","0.228","0.228","0.228","","",""
"666","","","","","","","0.2395","0.2395","0.2395"
"667","0.2375","0.2375","0.2375","","","","","",""
"668","0.246","0.246","0.246","","","","","",""
"669","0.246","0.246","0.246","0.2395","0.2395","0.2395","0.2465","0.2465","0.2465"
"672","0.2545","0.2545","0.2545","","","","","",""
"674","","","","","","","0.249","0.249","0.249"
"675","0.016","0.016","0.016","0.0175","0.0175","0.0175","","",""
"676","","","","","","","0.045","0.045","0.045"
"677","0.069","0.069","0.069","","","","","",""
"680","","","","","","","0.189","0.189","0.189"
"681","","","","","","","0.216","0.216","0.216"
"682","","","","","","","0.224","0.224","0.224"
"683","0.227","0.227","0.227","","","","","",""
"687","","","","","","","0.247","0.247","0.247"
"690","","","","","","","0.254","0.254","0.254"
"693","","","","0.2545","0.2545","0.2545","","",""
"699","","","","0.2515","0.2515","0.2515","","",""
"703","","","","","","","0.0615","0.0615","0.0615"
"706","0.1685","0.1685","0.1685","0.147","0.147","0.147","","",""
"708","","","","","","","0.17","0.17","0.17"
"710","","","","","","","0.1835","0.1835","0.1835"
"712","","","","0.1985","0.1985","0.1985","","",""
"716","0.2185","0.2185","0.2185","","","","","",""
"717","0.2225","0.2225","0.2225","0.211","0.211","0.211","","",""
"719","0.2265","0.2265","0.2265","","","","","",""
"721","0.2255","0.2255","0.2255","0.218","0.218","0.218","","",""
"723","0.2315","0.2315","0.2315","","","","","",""
"729","","","","0.1185","0.1185","0.1185","0.128","0.128","0.128"
"732","","","","","","","0.178","0.178","0.178"
"734","0.1925","0.1925","0.1925","","","","0.1965","0.1965","0.1965"
"735","0.2015","0.2015","0.2015","","","","","",""
"739","","","","0.2175","0.2175","0.2175","","",""
"740","","","","0.2175","0.2175","0.2175","0.2255","0.2255","0.2255"
"745","0.2425","0.2425","0.2425","0.226","0.226","0.226","","",""
"753","","","","0.147","0.147","0.147","","",""
"754","0.1665","0.1665","0.1665","","","","","",""
"755","","","","0.183","0.183","0.183","","",""
"766","0.2725","0.2725","0.2725","","","","","",""
"767","","","","0.2735","0.2735","0.2735","0.2785","0.2785","0.2785"
"768","","","","0.2745","0.2745","0.2745","","",""
"769","","","","","","","0.282","0.282","0.282"
"770","","","","0.2755","0.2755","0.2755","","",""
"771","","","","0.282","0.282","0.282","","",""
"778","","","","","","","0.1105","0.1105","0.1105"
"781","","","","","","","0.2045","0.2045","0.2045"
"783","","","","0.2215","0.2215","0.2215","","",""
"787","0.2595","0.2595","0.2595","","","","","",""
"788","","","","0.2645","0.2645","0.2645","","",""
"790","0.28","0.28","0.28","0.275","0.275","0.275","0.276","0.276","0.276"
"793","0.286","0.286","0.286","","","","","",""
"795","0.2855","0.2855","0.2855","","","","","",""
"802","","","","","","","0.045","0.045","0.045"
"807","0.176","0.176","0.176","","","","","",""
"815","","","","","","","0.242","0.242","0.242"
"817","0.26","0.26","0.26","","","","0.25","0.25","0.25"
"818","","","","0.249","0.249","0.249","","",""
"821","","","","0.2535","0.2535","0.2535","","",""
"826","0","0","0","","","","","",""
"827","","","","0.007","0.007","0.007","","",""
"829","","","","0.1355","0.1355","0.1355","","",""
"831","","","","0.1755","0.1755","0.1755","0.1985","0.1985","0.1985"
"832","0.187","0.187","0.187","0.1965","0.1965","0.1965","","",""
"834","","","","","","","0.219","0.219","0.219"
"835","0.222","0.222","0.222","0.2265","0.2265","0.2265","","",""
