"Step","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MIN","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MAX"
"512","0.66","0.66","0.66"
"513","0.653","0.653","0.653"
"514","0.6345","0.6345","0.6345"
"515","0.5505","0.5505","0.5505"
"516","0.554","0.554","0.554"
"517","0.686","0.686","0.686"
"518","0.6395","0.6395","0.6395"
"519","0.643","0.643","0.643"
"520","0.152","0.152","0.152"
"521","0.4685","0.4685","0.4685"
"522","0.5175","0.5175","0.5175"
"523","0.5025","0.5025","0.5025"
"524","0.517","0.517","0.517"
"525","0.6615","0.6615","0.6615"
"526","0.5885","0.5885","0.5885"
"527","0.6195","0.6195","0.6195"
"528","0.4855","0.4855","0.4855"
"529","0.5905","0.5905","0.5905"
"530","0.1005","0.1005","0.1005"
"531","0.505","0.505","0.505"
"532","0.5005","0.5005","0.5005"
"533","0.5345","0.5345","0.5345"
"534","0.6035","0.6035","0.6035"
"535","0.5735","0.5735","0.5735"
"536","0.654","0.654","0.654"
"537","0.658","0.658","0.658"
"538","0.6645","0.6645","0.6645"
"539","0.6535","0.6535","0.6535"
"540","0.1535","0.1535","0.1535"
"541","0.5495","0.5495","0.5495"
"542","0.6035","0.6035","0.6035"
"543","0.617","0.617","0.617"
"544","0.6135","0.6135","0.6135"
"545","0.6355","0.6355","0.6355"
"546","0.5845","0.5845","0.5845"
"547","0.6785","0.6785","0.6785"
"548","0.6235","0.6235","0.6235"
"549","0.6095","0.6095","0.6095"
"550","0.12","0.12","0.12"
"551","0.574","0.574","0.574"
"552","0.6035","0.6035","0.6035"
"553","0.6","0.6","0.6"
"554","0.6","0.6","0.6"
"555","0.5985","0.5985","0.5985"
"556","0.61","0.61","0.61"
"557","0.6425","0.6425","0.6425"
"558","0.619","0.619","0.619"
"559","0.6305","0.6305","0.6305"
"560","0.023","0.023","0.023"
"561","0.5835","0.5835","0.5835"
"562","0.566","0.566","0.566"
"563","0.612","0.612","0.612"
"564","0.5575","0.5575","0.5575"
"565","0.5615","0.5615","0.5615"
"566","0.6335","0.6335","0.6335"
"567","0.6585","0.6585","0.6585"
"568","0.657","0.657","0.657"
"569","0.6085","0.6085","0.6085"
"570","0.1915","0.1915","0.1915"
"571","0.5305","0.5305","0.5305"
"572","0.5505","0.5505","0.5505"
"573","0.6035","0.6035","0.6035"
"574","0.5195","0.5195","0.5195"
"575","0.5975","0.5975","0.5975"
"576","0.6045","0.6045","0.6045"
"577","0.605","0.605","0.605"
"578","0.59","0.59","0.59"
"579","0.6555","0.6555","0.6555"
"580","0.1535","0.1535","0.1535"
"581","0.5575","0.5575","0.5575"
"582","0.6245","0.6245","0.6245"
"583","0.538","0.538","0.538"
"584","0.602","0.602","0.602"
"585","0.616","0.616","0.616"
"586","0.604","0.604","0.604"
"587","0.6035","0.6035","0.6035"
"588","0.6125","0.6125","0.6125"
"589","0.6095","0.6095","0.6095"
"590","0.2015","0.2015","0.2015"
"591","0.526","0.526","0.526"
"592","0.559","0.559","0.559"
"593","0.566","0.566","0.566"
"594","0.602","0.602","0.602"
"595","0.585","0.585","0.585"
"596","0.61","0.61","0.61"
"597","0.6275","0.6275","0.6275"
"598","0.594","0.594","0.594"
"599","0.6275","0.6275","0.6275"
"600","0.116","0.116","0.116"
"601","0.5355","0.5355","0.5355"
"602","0.5125","0.5125","0.5125"
"603","0.572","0.572","0.572"
"604","0.5825","0.5825","0.5825"
"605","0.5695","0.5695","0.5695"
"606","0.565","0.565","0.565"
"607","0.6075","0.6075","0.6075"
"608","0.579","0.579","0.579"
"609","0.5995","0.5995","0.5995"
"610","0.048","0.048","0.048"
"611","0.6035","0.6035","0.6035"
"612","0.563","0.563","0.563"
"613","0.6005","0.6005","0.6005"
"614","0.6075","0.6075","0.6075"
"615","0.564","0.564","0.564"
"616","0.5185","0.5185","0.5185"
"617","0.5615","0.5615","0.5615"
"618","0.608","0.608","0.608"
"619","0.581","0.581","0.581"
"620","0.149","0.149","0.149"
"621","0.537","0.537","0.537"
"622","0.62","0.62","0.62"
"623","0.5775","0.5775","0.5775"
"624","0.548","0.548","0.548"
"625","0.5765","0.5765","0.5765"
"626","0.56","0.56","0.56"
"627","0.527","0.527","0.527"
"628","0.5735","0.5735","0.5735"
"629","0.571","0.571","0.571"
"630","0.1905","0.1905","0.1905"
"631","0.56","0.56","0.56"
"632","0.504","0.504","0.504"
"633","0.5065","0.5065","0.5065"
"634","0.5335","0.5335","0.5335"
"635","0.5605","0.5605","0.5605"
"636","0.5635","0.5635","0.5635"
"637","0.529","0.529","0.529"
"638","0.5565","0.5565","0.5565"
"639","0.61","0.61","0.61"
"640","0.26","0.26","0.26"
"641","0.561","0.561","0.561"
"642","0.554","0.554","0.554"
"643","0.5415","0.5415","0.5415"
"644","0.601","0.601","0.601"
"645","0.589","0.589","0.589"
"646","0.548","0.548","0.548"
"647","0.6265","0.6265","0.6265"
"648","0.588","0.588","0.588"
"649","0.6","0.6","0.6"
"650","0.134","0.134","0.134"
"651","0.5185","0.5185","0.5185"
"652","0.5605","0.5605","0.5605"
"653","0.5445","0.5445","0.5445"
"654","0.5565","0.5565","0.5565"
"655","0.5775","0.5775","0.5775"
"656","0.5515","0.5515","0.5515"
"657","0.556","0.556","0.556"
"658","0.5365","0.5365","0.5365"
"659","0.512","0.512","0.512"
"660","0.15","0.15","0.15"
"661","0.501","0.501","0.501"
"662","0.5175","0.5175","0.5175"
"663","0.525","0.525","0.525"
"664","0.5675","0.5675","0.5675"
"665","0.5395","0.5395","0.5395"
"666","0.5195","0.5195","0.5195"
"667","0.555","0.555","0.555"
"668","0.5215","0.5215","0.5215"
"669","0.554","0.554","0.554"
"670","0.173","0.173","0.173"
"671","0.5595","0.5595","0.5595"
"672","0.5315","0.5315","0.5315"
"673","0.5595","0.5595","0.5595"
"674","0.551","0.551","0.551"
"675","0.6395","0.6395","0.6395"
"676","0.62","0.62","0.62"
"677","0.6475","0.6475","0.6475"
"678","0.58","0.58","0.58"
"679","0.5285","0.5285","0.5285"
"680","0.1845","0.1845","0.1845"
"681","0.547","0.547","0.547"
"682","0.4975","0.4975","0.4975"
"683","0.607","0.607","0.607"
"684","0.637","0.637","0.637"
"685","0.5955","0.5955","0.5955"
"686","0.631","0.631","0.631"
"687","0.632","0.632","0.632"
"688","0.6425","0.6425","0.6425"
"689","0.619","0.619","0.619"
"690","0.1355","0.1355","0.1355"
"691","0.573","0.573","0.573"
"692","0.607","0.607","0.607"
"693","0.614","0.614","0.614"
"694","0.619","0.619","0.619"
"695","0.6345","0.6345","0.6345"
"696","0.6225","0.6225","0.6225"
"697","0.628","0.628","0.628"
"698","0.6635","0.6635","0.6635"
"699","0.587","0.587","0.587"
"700","0.1445","0.1445","0.1445"
"701","0.519","0.519","0.519"
"702","0.5585","0.5585","0.5585"
"703","0.554","0.554","0.554"
"704","0.475","0.475","0.475"
"705","0.5495","0.5495","0.5495"
"706","0.527","0.527","0.527"
"707","0.6045","0.6045","0.6045"
"708","0.6385","0.6385","0.6385"
"709","0.569","0.569","0.569"
"710","0.098","0.098","0.098"
"711","0.506","0.506","0.506"
"712","0.5455","0.5455","0.5455"
"713","0.5625","0.5625","0.5625"
"714","0.54","0.54","0.54"
"715","0.5385","0.5385","0.5385"
"716","0.4635","0.4635","0.4635"
"717","0.514","0.514","0.514"
"718","0.5045","0.5045","0.5045"
"719","0.562","0.562","0.562"
"720","0.3","0.3","0.3"
"721","0.5145","0.5145","0.5145"
"722","0.516","0.516","0.516"
"723","0.512","0.512","0.512"
"724","0.5925","0.5925","0.5925"
"725","0.5855","0.5855","0.5855"
"726","0.5675","0.5675","0.5675"
"727","0.587","0.587","0.587"
"728","0.5975","0.5975","0.5975"
"729","0.612","0.612","0.612"
"730","0.057","0.057","0.057"
"731","0.5235","0.5235","0.5235"
"732","0.5505","0.5505","0.5505"
"733","0.5995","0.5995","0.5995"
"734","0.601","0.601","0.601"
"735","0.569","0.569","0.569"
"736","0.5955","0.5955","0.5955"
"737","0.6375","0.6375","0.6375"
"738","0.611","0.611","0.611"
"739","0.6385","0.6385","0.6385"
"740","0.0015","0.0015","0.0015"
"741","0.486","0.486","0.486"
"742","0.554","0.554","0.554"
"743","0.5945","0.5945","0.5945"
"744","0.5","0.5","0.5"
"745","0.541","0.541","0.541"
"746","0.5","0.5","0.5"
"747","0.5025","0.5025","0.5025"
"748","0.597","0.597","0.597"
"749","0.5895","0.5895","0.5895"
"750","0.073","0.073","0.073"
"751","0.5","0.5","0.5"
"752","0.512","0.512","0.512"
"753","0.514","0.514","0.514"
"754","0.5","0.5","0.5"
"755","0.5065","0.5065","0.5065"
"756","0.5","0.5","0.5"
"757","0.507","0.507","0.507"
"758","0.5375","0.5375","0.5375"
"759","0.56","0.56","0.56"
"760","0.0665","0.0665","0.0665"
"761","0.5235","0.5235","0.5235"
"762","0.515","0.515","0.515"
"763","0.512","0.512","0.512"
"764","0.5505","0.5505","0.5505"
"765","0.5535","0.5535","0.5535"
"766","0.546","0.546","0.546"
