"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MAX"
"1277","0.3815","0.3815","0.3815"
"1282","0.386","0.386","0.386"
"1291","0.383","0.383","0.383"
"1293","0.3845","0.3845","0.3845"
"1317","0.321","0.321","0.321"
"1323","0.3535","0.3535","0.3535"
"1325","0.358","0.358","0.358"
"1326","0.359","0.359","0.359"
"1330","0.363","0.363","0.363"
"1332","0.3675","0.3675","0.3675"
"1340","0.3795","0.3795","0.3795"
"1342","0.386","0.386","0.386"
"1345","0.388","0.388","0.388"
"1354","0.3935","0.3935","0.3935"
"1355","0.3955","0.3955","0.3955"
"1358","0.3975","0.3975","0.3975"
"1359","0.398","0.398","0.398"
"1361","0.3965","0.3965","0.3965"
"1365","0.4005","0.4005","0.4005"
"1368","0.4045","0.4045","0.4045"
"1379","0.411","0.411","0.411"
"1384","0.42","0.42","0.42"
"1395","0.426","0.426","0.426"
"1406","0.132","0.132","0.132"
"1407","0.1475","0.1475","0.1475"
"1412","0.223","0.223","0.223"
"1419","0.271","0.271","0.271"
"1430","0.298","0.298","0.298"
"1454","0.322","0.322","0.322"
"1465","0.324","0.324","0.324"
"1472","0.3285","0.3285","0.3285"
"1477","0.336","0.336","0.336"
"1480","0.3345","0.3345","0.3345"
"1484","0.3325","0.3325","0.3325"
"1487","0.3335","0.3335","0.3335"
"1490","0.338","0.338","0.338"
"1499","0.346","0.346","0.346"
"1501","0.0155","0.0155","0.0155"
"1503","0.021","0.021","0.021"
"1510","0.1635","0.1635","0.1635"
"1512","0.2115","0.2115","0.2115"
"1520","0.296","0.296","0.296"
"1521","0.298","0.298","0.298"
"1526","0.314","0.314","0.314"
"1531","0.3245","0.3245","0.3245"
"1562","0.3565","0.3565","0.3565"
"1564","0.3545","0.3545","0.3545"
"1573","0.3585","0.3585","0.3585"
"1581","0.3555","0.3555","0.3555"
"1586","0.357","0.357","0.357"
"1595","0.3585","0.3585","0.3585"
"1598","0.3615","0.3615","0.3615"
"1601","0.0055","0.0055","0.0055"
"1602","0.024","0.024","0.024"
"1608","0.107","0.107","0.107"
"1612","0.179","0.179","0.179"
"1613","0.199","0.199","0.199"
"1631","0.297","0.297","0.297"
"1640","0.317","0.317","0.317"
"1642","0.3185","0.3185","0.3185"
"1644","0.3165","0.3165","0.3165"
"1653","0.325","0.325","0.325"
"1669","0.335","0.335","0.335"
"1683","0.3385","0.3385","0.3385"
"1685","0.336","0.336","0.336"
"1692","0.3455","0.3455","0.3455"
"1694","0.341","0.341","0.341"
"1697","0.3415","0.3415","0.3415"
"1699","0.346","0.346","0.346"
"1700","0","0","0"
"1701","0.006","0.006","0.006"
"1706","0.108","0.108","0.108"
"1708","0.1515","0.1515","0.1515"
"1717","0.302","0.302","0.302"
"1720","0.3225","0.3225","0.3225"
"1724","0.3305","0.3305","0.3305"
"1730","0.3385","0.3385","0.3385"
"1731","0.3445","0.3445","0.3445"
"1733","0.3445","0.3445","0.3445"
