"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"446","0.251","0.251","0.251"
"447","0.2465","0.2465","0.2465"
"448","0.2505","0.2505","0.2505"
"449","0.2555","0.2555","0.2555"
"450","0","0","0"
"451","0","0","0"
"452","0","0","0"
"453","0.0705","0.0705","0.0705"
"454","0.134","0.134","0.134"
"455","0.152","0.152","0.152"
"456","0.16","0.16","0.16"
"457","0.1715","0.1715","0.1715"
"458","0.1805","0.1805","0.1805"
"459","0.1795","0.1795","0.1795"
"460","0.1875","0.1875","0.1875"
"461","0.195","0.195","0.195"
"462","0.1965","0.1965","0.1965"
"463","0.1985","0.1985","0.1985"
"464","0.209","0.209","0.209"
"465","0.2005","0.2005","0.2005"
"466","0.2025","0.2025","0.2025"
"467","0.207","0.207","0.207"
"468","0.214","0.214","0.214"
"469","0.2155","0.2155","0.2155"
"470","0.222","0.222","0.222"
"471","0.22","0.22","0.22"
"472","0.22","0.22","0.22"
"473","0.2215","0.2215","0.2215"
"474","0.2195","0.2195","0.2195"
"475","0","0","0"
"476","0","0","0"
"477","0","0","0"
"478","0.0535","0.0535","0.0535"
"479","0.1","0.1","0.1"
"480","0.126","0.126","0.126"
"481","0.1455","0.1455","0.1455"
"482","0.1575","0.1575","0.1575"
"483","0.176","0.176","0.176"
"484","0.1885","0.1885","0.1885"
"485","0.2035","0.2035","0.2035"
"486","0.207","0.207","0.207"
"487","0.213","0.213","0.213"
"488","0.216","0.216","0.216"
"489","0.221","0.221","0.221"
"490","0.221","0.221","0.221"
"491","0.2275","0.2275","0.2275"
"492","0.229","0.229","0.229"
"493","0.229","0.229","0.229"
"494","0.233","0.233","0.233"
"495","0.2315","0.2315","0.2315"
"496","0.2315","0.2315","0.2315"
"497","0.238","0.238","0.238"
"498","0.236","0.236","0.236"
"499","0.233","0.233","0.233"
"500","0.009","0.009","0.009"
"501","0.021","0.021","0.021"
"502","0.0545","0.0545","0.0545"
"503","0.1","0.1","0.1"
"504","0.1305","0.1305","0.1305"
"505","0.146","0.146","0.146"
"506","0.1605","0.1605","0.1605"
"507","0.184","0.184","0.184"
"508","0.192","0.192","0.192"
"509","0.202","0.202","0.202"
"510","0.207","0.207","0.207"
"511","0.2145","0.2145","0.2145"
"512","0.2215","0.2215","0.2215"
"513","0.2265","0.2265","0.2265"
"514","0.224","0.224","0.224"
"515","0.227","0.227","0.227"
"516","0.2305","0.2305","0.2305"
"517","0.2305","0.2305","0.2305"
