"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"2392","0.5885","0.5885","0.5885"
"2397","0.6045","0.6045","0.6045"
"2402","0.16","0.16","0.16"
"2403","0.261","0.261","0.261"
"2411","0.6215","0.6215","0.6215"
"2417","0.635","0.635","0.635"
"2424","0.618","0.618","0.618"
"2425","0","0","0"
"2429","0.2915","0.2915","0.2915"
"2440","0.643","0.643","0.643"
"2451","0.135","0.135","0.135"
"2454","0.342","0.342","0.342"
"2461","0.6455","0.6455","0.6455"
"2467","0.6645","0.6645","0.6645"
"2471","0.6185","0.6185","0.6185"
"2472","0.5915","0.5915","0.5915"
"2475","0","0","0"
"2477","0.062","0.062","0.062"
"2480","0.435","0.435","0.435"
"2490","0.6085","0.6085","0.6085"
"2496","0.609","0.609","0.609"
"2498","0.613","0.613","0.613"
"2505","0.45","0.45","0.45"
"2509","0.603","0.603","0.603"
"2515","0.632","0.632","0.632"
"2520","0.644","0.644","0.644"
"2543","0.632","0.632","0.632"
"2547","0.6035","0.6035","0.6035"
"2549","0.6365","0.6365","0.6365"
"2560","0.5265","0.5265","0.5265"
"2563","0.539","0.539","0.539"
"2568","0.56","0.56","0.56"
"2569","0.548","0.548","0.548"
"2570","0.578","0.578","0.578"
"2591","0.6205","0.6205","0.6205"
"2592","0.671","0.671","0.671"
"2599","0.6605","0.6605","0.6605"
"2615","0.669","0.669","0.669"
"2617","0.6545","0.6545","0.6545"
"2629","0.3565","0.3565","0.3565"
"2632","0.5385","0.5385","0.5385"
"2641","0.572","0.572","0.572"
"2645","0.5635","0.5635","0.5635"
"2658","0.638","0.638","0.638"
"2669","0.6575","0.6575","0.6575"
"2671","0.617","0.617","0.617"
"2673","0.6335","0.6335","0.6335"
"2674","0.6325","0.6325","0.6325"
"2676","0.0585","0.0585","0.0585"
"2680","0.4655","0.4655","0.4655"
"2682","0.5665","0.5665","0.5665"
"2703","0.275","0.275","0.275"
"2708","0.587","0.587","0.587"
"2709","0.6175","0.6175","0.6175"
"2710","0.607","0.607","0.607"
"2712","0.622","0.622","0.622"
"2713","0.6235","0.6235","0.6235"
"2722","0.641","0.641","0.641"
"2738","0.6075","0.6075","0.6075"
"2748","0.629","0.629","0.629"
"2750","0","0","0"
"2757","0.4885","0.4885","0.4885"
"2760","0.5735","0.5735","0.5735"
"2761","0.583","0.583","0.583"
"2770","0.589","0.589","0.589"
"2771","0.595","0.595","0.595"
"2772","0.572","0.572","0.572"
"2773","0.5795","0.5795","0.5795"
"2779","0.3485","0.3485","0.3485"
"2795","0.647","0.647","0.647"
"2797","0.644","0.644","0.644"
"2800","0","0","0"
"2810","0.5535","0.5535","0.5535"
"2814","0.569","0.569","0.569"
"2818","0.581","0.581","0.581"
"2822","0.565","0.565","0.565"
"2825","0","0","0"
"2826","0.0545","0.0545","0.0545"
"2830","0.5025","0.5025","0.5025"
"2840","0.618","0.618","0.618"
"2842","0.6225","0.6225","0.6225"
"2859","0.634","0.634","0.634"
"2863","0.6535","0.6535","0.6535"
"2878","0.269","0.269","0.269"
"2880","0.361","0.361","0.361"
"2893","0.5355","0.5355","0.5355"
"2896","0.5795","0.5795","0.5795"
"2897","0.5635","0.5635","0.5635"
"2899","0.5235","0.5235","0.5235"
"2901","0.0095","0.0095","0.0095"
"2906","0.5025","0.5025","0.5025"
"2911","0.5695","0.5695","0.5695"
"2912","0.5755","0.5755","0.5755"
"2914","0.561","0.561","0.561"
"2918","0.5815","0.5815","0.5815"
"2925","0","0","0"
"2933","0.5445","0.5445","0.5445"
"2946","0.6365","0.6365","0.6365"
"2955","0.4965","0.4965","0.4965"
"2962","0.6285","0.6285","0.6285"
"2975","0","0","0"
"2980","0.5715","0.5715","0.5715"
"2987","0.654","0.654","0.654"
"2990","0.634","0.634","0.634"
"2994","0.6775","0.6775","0.6775"
"2996","0.643","0.643","0.643"
"3013","0.6055","0.6055","0.6055"
"3017","0.6175","0.6175","0.6175"
"3020","0.6005","0.6005","0.6005"
"3021","0.6185","0.6185","0.6185"
"3032","0.5125","0.5125","0.5125"
"3043","0.5605","0.5605","0.5605"
"3055","0.48","0.48","0.48"
"3057","0.59","0.59","0.59"
"3058","0.5825","0.5825","0.5825"
"3059","0.594","0.594","0.594"
"3068","0.6105","0.6105","0.6105"
"3071","0.6225","0.6225","0.6225"
"3073","0.572","0.572","0.572"
"3084","0.521","0.521","0.521"
"3094","0.55","0.55","0.55"
"3116","0.659","0.659","0.659"
"3122","0.6435","0.6435","0.6435"
"3137","0.619","0.619","0.619"
"3143","0.6035","0.6035","0.6035"
"3150","0","0","0"
"3157","0.5365","0.5365","0.5365"
"3160","0.5995","0.5995","0.5995"
"3167","0.632","0.632","0.632"
"3174","0.643","0.643","0.643"
"3190","0.562","0.562","0.562"
"3205","0.5285","0.5285","0.5285"
"3206","0.6065","0.6065","0.6065"
"3210","0.6525","0.6525","0.6525"
"3224","0.687","0.687","0.687"
"3234","0.657","0.657","0.657"
"3240","0.6485","0.6485","0.6485"
"3242","0.6025","0.6025","0.6025"
"3246","0.6405","0.6405","0.6405"
"3247","0.6435","0.6435","0.6435"
"3251","0.078","0.078","0.078"
"3253","0.3325","0.3325","0.3325"
"3255","0.536","0.536","0.536"
"3273","0.5825","0.5825","0.5825"
"3289","0.5735","0.5735","0.5735"
"3298","0.585","0.585","0.585"
"3300","0","0","0"
"3307","0.4875","0.4875","0.4875"
"3314","0.6185","0.6185","0.6185"
"3318","0.57","0.57","0.57"
"3335","0.5875","0.5875","0.5875"
"3345","0.53","0.53","0.53"
"3347","0.588","0.588","0.588"
"3357","0.493","0.493","0.493"
"3364","0.557","0.557","0.557"
"3376","0.158","0.158","0.158"
"3382","0.6155","0.6155","0.6155"
"3386","0.63","0.63","0.63"
"3387","0.6165","0.6165","0.6165"
"3390","0.6175","0.6175","0.6175"
"3397","0.603","0.603","0.603"
"3399","0.641","0.641","0.641"
"3402","0.2475","0.2475","0.2475"
"3404","0.4245","0.4245","0.4245"
"3407","0.55","0.55","0.55"
"3409","0.518","0.518","0.518"
"3419","0.5835","0.5835","0.5835"
"3424","0.542","0.542","0.542"
"3435","0.6295","0.6295","0.6295"
"3436","0.6195","0.6195","0.6195"
"3440","0.6355","0.6355","0.6355"
"3442","0.6275","0.6275","0.6275"
"3445","0.6235","0.6235","0.6235"
"3476","0.114","0.114","0.114"
"3482","0.515","0.515","0.515"
"3486","0.5455","0.5455","0.5455"
"3487","0.5435","0.5435","0.5435"
"3488","0.5395","0.5395","0.5395"
"3491","0.562","0.562","0.562"
"3493","0.55","0.55","0.55"
"3496","0.536","0.536","0.536"
"3498","0.5475","0.5475","0.5475"
"3509","0.559","0.559","0.559"
"3510","0.5605","0.5605","0.5605"
"3524","0.544","0.544","0.544"
"3527","0.224","0.224","0.224"
"3528","0.336","0.336","0.336"
"3545","0.656","0.656","0.656"
"3568","0.633","0.633","0.633"
"3579","0.409","0.409","0.409"
"3580","0.4925","0.4925","0.4925"
"3581","0.5175","0.5175","0.5175"
"3589","0.589","0.589","0.589"
"3608","0.554","0.554","0.554"
"3609","0.5865","0.5865","0.5865"
"3620","0.592","0.592","0.592"
"3623","0.555","0.555","0.555"
"3636","0.6435","0.6435","0.6435"
"3637","0.695","0.695","0.695"
"3653","0.4065","0.4065","0.4065"
"3655","0.52","0.52","0.52"
"3656","0.568","0.568","0.568"
"3662","0.6575","0.6575","0.6575"
"3667","0.6375","0.6375","0.6375"
"3670","0.6285","0.6285","0.6285"
"3681","0.6025","0.6025","0.6025"
"3684","0.6245","0.6245","0.6245"
"3698","0.538","0.538","0.538"
"3704","0.4165","0.4165","0.4165"
"3706","0.561","0.561","0.561"
"3716","0.5865","0.5865","0.5865"
"3722","0.5865","0.5865","0.5865"
"3725","0","0","0"
"3738","0.6205","0.6205","0.6205"
"3755","0.4475","0.4475","0.4475"
"3759","0.5895","0.5895","0.5895"
"3763","0.612","0.612","0.612"
"3768","0.617","0.617","0.617"
"3772","0.5945","0.5945","0.5945"
"3774","0.58","0.58","0.58"
"3776","0.1375","0.1375","0.1375"
"3780","0.479","0.479","0.479"
"3787","0.597","0.597","0.597"
"3791","0.5945","0.5945","0.5945"
"3813","0.6825","0.6825","0.6825"
"3817","0.663","0.663","0.663"
"3819","0.658","0.658","0.658"
"3820","0.66","0.66","0.66"
"3832","0.5025","0.5025","0.5025"
"3833","0.5415","0.5415","0.5415"
"3836","0.544","0.544","0.544"
"3841","0.572","0.572","0.572"
"3852","0.141","0.141","0.141"
"3865","0.6855","0.6855","0.6855"
"3867","0.6945","0.6945","0.6945"
"3873","0.673","0.673","0.673"
"3874","0.641","0.641","0.641"
"3881","0.5545","0.5545","0.5545"
"3887","0.562","0.562","0.562"
