"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"187","0.1875","0.1875","0.1875","0.14905","0.14905","0.14905","0.1471","0.1471","0.1471"
"188","0.1885","0.1885","0.1885","0.152","0.152","0.152","0.1498","0.1498","0.1498"
"189","0.1885","0.1885","0.1885","0.1544","0.1544","0.1544","0.152","0.152","0.152"
"190","0.1915","0.1915","0.1915","0.15635","0.15635","0.15635","0.15525","0.15525","0.15525"
"191","0.1885","0.1885","0.1885","0.1587","0.1587","0.1587","0.15765","0.15765","0.15765"
"192","0.1925","0.1925","0.1925","0.161","0.161","0.161","0.1602","0.1602","0.1602"
"193","0.1935","0.1935","0.1935","0.1609","0.1609","0.1609","0.16205","0.16205","0.16205"
"194","0.1985","0.1985","0.1985","0.16435","0.16435","0.16435","0.1645","0.1645","0.1645"
"195","0.1985","0.1985","0.1985","0.16375","0.16375","0.16375","0.1659","0.1659","0.1659"
"196","0.1995","0.1995","0.1995","0.16635","0.16635","0.16635","0.1667","0.1667","0.1667"
"197","0.1975","0.1975","0.1975","0.16815","0.16815","0.16815","0.16875","0.16875","0.16875"
"198","0.1995","0.1995","0.1995","0.1689","0.1689","0.1689","0.1691","0.1691","0.1691"
"199","0.195","0.195","0.195","0.16835","0.16835","0.16835","0.17005","0.17005","0.17005"
"200","0","0","0","0.02745","0.02745","0.02745","0.02715","0.02715","0.02715"
"201","0","0","0","0.05065","0.05065","0.05065","0.04945","0.04945","0.04945"
"202","0","0","0","0.07385","0.07385","0.07385","0.07355","0.07355","0.07355"
"203","0.016","0.016","0.016","0.0971","0.0971","0.0971","0.09745","0.09745","0.09745"
"204","0.067","0.067","0.067","0.11705","0.11705","0.11705","0.1126","0.1126","0.1126"
"205","0.1035","0.1035","0.1035","0.13085","0.13085","0.13085","0.12705","0.12705","0.12705"
