Step,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX
109,0.30595,0.30595,0.30595,0.2,0.2,0.2,0.1905,0.1905,0.1905
110,0.3073,0.3073,0.3073,0.2035,0.2035,0.2035,0.199,0.199,0.199
111,0.3069,0.3069,0.3069,0.2035,0.2035,0.2035,0.187,0.187,0.187
112,0.30995,0.30995,0.30995,0.213,0.213,0.213,0.1945,0.1945,0.1945
113,0.30785,0.30785,0.30785,0.2135,0.2135,0.2135,0.2035,0.2035,0.2035
114,0.3057,0.3057,0.3057,0.213,0.213,0.213,0.2105,0.2105,0.2105
115,0.3075,0.3075,0.3075,0.218,0.218,0.218,0.203,0.203,0.203
116,0.3068,0.3068,0.3068,0.2165,0.2165,0.2165,0.208,0.208,0.208
117,0.30665,0.30665,0.30665,0.2225,0.2225,0.2225,0.211,0.211,0.211
118,0.3065,0.3065,0.3065,0.23,0.23,0.23,0.214,0.214,0.214
119,0.3073,0.3073,0.3073,0.229,0.229,0.229,0.208,0.208,0.208
120,0.3047,0.3047,0.3047,0.235,0.235,0.235,0.2135,0.2135,0.2135
121,0.30915,0.30915,0.30915,0.233,0.233,0.233,0.216,0.216,0.216
122,0.30805,0.30805,0.30805,0.23,0.23,0.23,0.218,0.218,0.218
123,0.307,0.307,0.307,0.2385,0.2385,0.2385,0.21,0.21,0.21
124,0.3062,0.3062,0.3062,0.2395,0.2395,0.2395,0.2135,0.2135,0.2135
125,0.2309,0.2309,0.2309,0.0215,0.0215,0.0215,0.0165,0.0165,0.0165
126,0.2918,0.2918,0.2918,0.066,0.066,0.066,0.067,0.067,0.067
127,0.30265,0.30265,0.30265,0.1195,0.1195,0.1195,0.1225,0.1225,0.1225
128,0.3087,0.3087,0.3087,0.148,0.148,0.148,0.147,0.147,0.147
129,0.30845,0.30845,0.30845,0.164,0.164,0.164,0.1565,0.1565,0.1565
130,0.30955,0.30955,0.30955,0.169,0.169,0.169,0.164,0.164,0.164
131,0.31,0.31,0.31,0.1795,0.1795,0.1795,0.1755,0.1755,0.1755
132,0.3101,0.3101,0.3101,0.179,0.179,0.179,0.1825,0.1825,0.1825
133,0.31075,0.31075,0.31075,0.184,0.184,0.184,0.186,0.186,0.186
134,0.3118,0.3118,0.3118,0.1885,0.1885,0.1885,0.1975,0.1975,0.1975
135,0.3121,0.3121,0.3121,0.1985,0.1985,0.1985,0.2055,0.2055,0.2055
136,0.3118,0.3118,0.3118,0.208,0.208,0.208,0.2075,0.2075,0.2075
137,0.3136,0.3136,0.3136,0.2015,0.2015,0.2015,0.207,0.207,0.207
138,0.31275,0.31275,0.31275,0.208,0.208,0.208,0.212,0.212,0.212
139,0.31475,0.31475,0.31475,0.2185,0.2185,0.2185,0.209,0.209,0.209
140,0.315,0.315,0.315,0.225,0.225,0.225,0.209,0.209,0.209
141,0.31265,0.31265,0.31265,0.2255,0.2255,0.2255,0.2155,0.2155,0.2155
142,0.3138,0.3138,0.3138,0.2285,0.2285,0.2285,0.218,0.218,0.218
143,0.31445,0.31445,0.31445,0.2305,0.2305,0.2305,0.212,0.212,0.212
144,0.3129,0.3129,0.3129,0.234,0.234,0.234,0.219,0.219,0.219
145,0.31275,0.31275,0.31275,0.2345,0.2345,0.2345,0.2285,0.2285,0.2285
146,0.31375,0.31375,0.31375,0.2365,0.2365,0.2365,0.216,0.216,0.216
147,0.3132,0.3132,0.3132,0.2375,0.2375,0.2375,0.2205,0.2205,0.2205
148,0.3143,0.3143,0.3143,0.2395,0.2395,0.2395,0.224,0.224,0.224
149,0.3153,0.3153,0.3153,0.2445,0.2445,0.2445,0.227,0.227,0.227
150,0.19315,0.19315,0.19315,0.039,0.039,0.039,0.041,0.041,0.041
151,0.27615,0.27615,0.27615,0.111,0.111,0.111,0.093,0.093,0.093
152,0.29435,0.29435,0.29435,0.132,0.132,0.132,0.1115,0.1115,0.1115
153,0.2965,0.2965,0.2965,0.143,0.143,0.143,0.1345,0.1345,0.1345
154,0.29885,0.29885,0.29885,0.163,0.163,0.163,0.144,0.144,0.144
155,0.3024,0.3024,0.3024,0.165,0.165,0.165,0.1595,0.1595,0.1595
156,0.3045,0.3045,0.3045,0.176,0.176,0.176,0.169,0.169,0.169
157,0.30835,0.30835,0.30835,0.1785,0.1785,0.1785,0.177,0.177,0.177
158,0.3091,0.3091,0.3091,0.175,0.175,0.175,0.1915,0.1915,0.1915
159,0.31225,0.31225,0.31225,0.1885,0.1885,0.1885,0.2,0.2,0.2
160,0.3118,0.3118,0.3118,0.192,0.192,0.192,0.1975,0.1975,0.1975
161,0.31025,0.31025,0.31025,0.1935,0.1935,0.1935,0.198,0.198,0.198
162,0.3114,0.3114,0.3114,0.203,0.203,0.203,0.2,0.2,0.2
163,0.31155,0.31155,0.31155,0.203,0.203,0.203,0.1955,0.1955,0.1955
164,0.31445,0.31445,0.31445,0.2075,0.2075,0.2075,0.1985,0.1985,0.1985
165,0.31405,0.31405,0.31405,0.206,0.206,0.206,0.2,0.2,0.2
166,0.31605,0.31605,0.31605,0.2175,0.2175,0.2175,0.203,0.203,0.203
167,0.3138,0.3138,0.3138,0.211,0.211,0.211,0.206,0.206,0.206
168,0.3145,0.3145,0.3145,0.2125,0.2125,0.2125,0.202,0.202,0.202
169,0.31555,0.31555,0.31555,0.2195,0.2195,0.2195,0.2045,0.2045,0.2045
170,0.31675,0.31675,0.31675,0.2265,0.2265,0.2265,0.2065,0.2065,0.2065
171,0.31525,0.31525,0.31525,0.225,0.225,0.225,0.208,0.208,0.208
172,0.31645,0.31645,0.31645,0.225,0.225,0.225,0.202,0.202,0.202
173,0.3168,0.3168,0.3168,0.2235,0.2235,0.2235,0.206,0.206,0.206
174,0.3167,0.3167,0.3167,0.2315,0.2315,0.2315,0.215,0.215,0.215
175,0.20575,0.20575,0.20575,0.012,0.012,0.012,0.0055,0.0055,0.0055
176,0.2462,0.2462,0.2462,0.0825,0.0825,0.0825,0.077,0.077,0.077
177,0.2634,0.2634,0.2634,0.1595,0.1595,0.1595,0.16,0.16,0.16
178,0.27055,0.27055,0.27055,0.1865,0.1865,0.1865,0.1945,0.1945,0.1945
179,0.27305,0.27305,0.27305,0.211,0.211,0.211,0.2185,0.2185,0.2185
180,0.2741,0.2741,0.2741,0.2225,0.2225,0.2225,0.238,0.238,0.238
181,0.2772,0.2772,0.2772,0.2375,0.2375,0.2375,0.244,0.244,0.244
182,0.27615,0.27615,0.27615,0.2365,0.2365,0.2365,0.2505,0.2505,0.2505
183,0.276,0.276,0.276,0.241,0.241,0.241,0.245,0.245,0.245
184,0.27705,0.27705,0.27705,0.2355,0.2355,0.2355,0.2465,0.2465,0.2465
185,0.2783,0.2783,0.2783,0.248,0.248,0.248,0.2455,0.2455,0.2455
186,0.27845,0.27845,0.27845,0.241,0.241,0.241,0.2485,0.2485,0.2485
187,0.2786,0.2786,0.2786,0.2465,0.2465,0.2465,0.254,0.254,0.254
188,0.27655,0.27655,0.27655,0.2665,0.2665,0.2665,0.248,0.248,0.248
189,0.27875,0.27875,0.27875,0.267,0.267,0.267,0.2515,0.2515,0.2515
190,0.27705,0.27705,0.27705,0.265,0.265,0.265,0.2435,0.2435,0.2435
191,0.27515,0.27515,0.27515,0.2675,0.2675,0.2675,0.2595,0.2595,0.2595
192,0.2769,0.2769,0.2769,0.2785,0.2785,0.2785,0.266,0.266,0.266
193,0.27595,0.27595,0.27595,0.2755,0.2755,0.2755,0.2645,0.2645,0.2645
194,0.27745,0.27745,0.27745,0.2815,0.2815,0.2815,0.2555,0.2555,0.2555
195,0.2784,0.2784,0.2784,0.282,0.282,0.282,0.2625,0.2625,0.2625
196,0.2772,0.2772,0.2772,0.2845,0.2845,0.2845,0.262,0.262,0.262
197,0.27725,0.27725,0.27725,0.2825,0.2825,0.2825,0.2635,0.2635,0.2635
198,0.27755,0.27755,0.27755,0.277,0.277,0.277,0.2585,0.2585,0.2585
199,0.2768,0.2768,0.2768,0.2875,0.2875,0.2875,0.2685,0.2685,0.2685
200,0.23215,0.23215,0.23215,0.0435,0.0435,0.0435,0.043,0.043,0.043
201,0.3152,0.3152,0.3152,0.1505,0.1505,0.1505,0.1385,0.1385,0.1385
202,0.32705,0.32705,0.32705,0.175,0.175,0.175,0.1685,0.1685,0.1685
203,0.3318,0.3318,0.3318,0.223,0.223,0.223,0.2055,0.2055,0.2055
204,0.3328,0.3328,0.3328,0.225,0.225,0.225,0.2115,0.2115,0.2115
205,0.336,0.336,0.336,0.243,0.243,0.243,0.216,0.216,0.216
206,0.33515,0.33515,0.33515,0.2345,0.2345,0.2345,0.225,0.225,0.225
207,0.3378,0.3378,0.3378,0.253,0.253,0.253,0.2285,0.2285,0.2285
208,0.33705,0.33705,0.33705,0.2485,0.2485,0.2485,0.2165,0.2165,0.2165
