Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
434,6.14E-08,6.14E-08,6.14E-08,6.14E-08,6.14E-08,6.14E-08,6.14E-08,6.14E-08,6.14E-08
444,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08
454,8.97E-08,8.97E-08,8.97E-08,8.97E-08,8.97E-08,8.97E-08,8.97E-08,8.97E-08,8.97E-08
457,6.77E-08,6.77E-08,6.77E-08,6.77E-08,6.77E-08,6.77E-08,6.77E-08,6.77E-08,6.77E-08
468,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08
478,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08
479,8.20E-08,8.20E-08,8.20E-08,8.20E-08,8.20E-08,8.20E-08,8.20E-08,8.20E-08,8.20E-08
483,5.97E-08,5.97E-08,5.97E-08,5.97E-08,5.97E-08,5.97E-08,5.97E-08,5.97E-08,5.97E-08
490,4.90E-08,4.90E-08,4.90E-08,4.90E-08,4.90E-08,4.90E-08,4.90E-08,4.90E-08,4.90E-08
501,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07,1.50E-07
