"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"112","0.1457","0.1457","0.1457","0.357","0.357","0.357","0.188","0.188","0.188"
"113","0.14985","0.14985","0.14985","0.31","0.31","0.31","0.183","0.183","0.183"
"114","0.1535","0.1535","0.1535","0.376","0.376","0.376","0.188","0.188","0.188"
"115","0.15565","0.15565","0.15565","0.333","0.333","0.333","0.189","0.189","0.189"
"116","0.1573","0.1573","0.1573","0.358","0.358","0.358","0.19","0.19","0.19"
"117","0.1579","0.1579","0.1579","0.355","0.355","0.355","0.1865","0.1865","0.1865"
"118","0.16185","0.16185","0.16185","0.356","0.356","0.356","0.19","0.19","0.19"
"119","0.1631","0.1631","0.1631","0.3595","0.3595","0.3595","0.19","0.19","0.19"
"120","0.1658","0.1658","0.1658","0.3495","0.3495","0.3495","0.1955","0.1955","0.1955"
"121","0.1653","0.1653","0.1653","0.345","0.345","0.345","0.196","0.196","0.196"
"122","0.16885","0.16885","0.16885","0.365","0.365","0.365","0.1995","0.1995","0.1995"
"123","0.169","0.169","0.169","0.3605","0.3605","0.3605","0.1995","0.1995","0.1995"
"124","0.1699","0.1699","0.1699","0.372","0.372","0.372","0.2005","0.2005","0.2005"
"125","0.0286","0.0286","0.0286","0.1365","0.1365","0.1365","0","0","0"
"126","0.05355","0.05355","0.05355","0.2095","0.2095","0.2095","0","0","0"
"127","0.0713","0.0713","0.0713","0.243","0.243","0.243","0.0015","0.0015","0.0015"
"128","0.088","0.088","0.088","0.233","0.233","0.233","0.0355","0.0355","0.0355"
"129","0.1018","0.1018","0.1018","0.275","0.275","0.275","0.0825","0.0825","0.0825"
"130","0.1088","0.1088","0.1088","0.2555","0.2555","0.2555","0.09","0.09","0.09"
"131","0.1156","0.1156","0.1156","0.3115","0.3115","0.3115","0.099","0.099","0.099"
"132","0.1197","0.1197","0.1197","0.286","0.286","0.286","0.1145","0.1145","0.1145"
"133","0.1253","0.1253","0.1253","0.317","0.317","0.317","0.1295","0.1295","0.1295"
"134","0.1305","0.1305","0.1305","0.2925","0.2925","0.2925","0.1535","0.1535","0.1535"
"135","0.13335","0.13335","0.13335","0.3315","0.3315","0.3315","0.148","0.148","0.148"
"136","0.1386","0.1386","0.1386","0.319","0.319","0.319","0.168","0.168","0.168"
"137","0.14035","0.14035","0.14035","0.33","0.33","0.33","0.178","0.178","0.178"
"138","0.14335","0.14335","0.14335","0.34","0.34","0.34","0.177","0.177","0.177"
"139","0.1467","0.1467","0.1467","0.336","0.336","0.336","0.1845","0.1845","0.1845"
"140","0.1496","0.1496","0.1496","0.348","0.348","0.348","0.187","0.187","0.187"
"141","0.1499","0.1499","0.1499","0.344","0.344","0.344","0.196","0.196","0.196"
"142","0.15395","0.15395","0.15395","0.362","0.362","0.362","0.204","0.204","0.204"
"143","0.15485","0.15485","0.15485","0.3485","0.3485","0.3485","0.201","0.201","0.201"
"144","0.15675","0.15675","0.15675","0.3645","0.3645","0.3645","0.2095","0.2095","0.2095"
"145","0.1578","0.1578","0.1578","0.357","0.357","0.357","0.215","0.215","0.215"
"146","0.159","0.159","0.159","0.36","0.36","0.36","0.2095","0.2095","0.2095"
"147","0.1603","0.1603","0.1603","0.3625","0.3625","0.3625","0.216","0.216","0.216"
"148","0.1617","0.1617","0.1617","0.375","0.375","0.375","0.2155","0.2155","0.2155"
"149","0.16135","0.16135","0.16135","0.3715","0.3715","0.3715","0.2165","0.2165","0.2165"
"150","0.03245","0.03245","0.03245","0.164","0.164","0.164","0","0","0"
"151","0.0588","0.0588","0.0588","0.18","0.18","0.18","0","0","0"
"152","0.07625","0.07625","0.07625","0.2875","0.2875","0.2875","0","0","0"
"153","0.0907","0.0907","0.0907","0.2255","0.2255","0.2255","0.0065","0.0065","0.0065"
"154","0.10055","0.10055","0.10055","0.2715","0.2715","0.2715","0.078","0.078","0.078"
"155","0.10735","0.10735","0.10735","0.2415","0.2415","0.2415","0.121","0.121","0.121"
"156","0.11315","0.11315","0.11315","0.279","0.279","0.279","0.144","0.144","0.144"
"157","0.1176","0.1176","0.1176","0.2565","0.2565","0.2565","0.1675","0.1675","0.1675"
"158","0.1217","0.1217","0.1217","0.292","0.292","0.292","0.17","0.17","0.17"
"159","0.12645","0.12645","0.12645","0.282","0.282","0.282","0.1955","0.1955","0.1955"
"160","0.1296","0.1296","0.1296","0.3185","0.3185","0.3185","0.206","0.206","0.206"
"161","0.1323","0.1323","0.1323","0.3025","0.3025","0.3025","0.203","0.203","0.203"
"162","0.13625","0.13625","0.13625","0.3345","0.3345","0.3345","0.209","0.209","0.209"
"163","0.139","0.139","0.139","0.309","0.309","0.309","0.212","0.212","0.212"
"164","0.1402","0.1402","0.1402","0.335","0.335","0.335","0.2125","0.2125","0.2125"
"165","0.14055","0.14055","0.14055","0.305","0.305","0.305","0.2145","0.2145","0.2145"
"166","0.1433","0.1433","0.1433","0.3225","0.3225","0.3225","0.226","0.226","0.226"
"167","0.1466","0.1466","0.1466","0.291","0.291","0.291","0.2315","0.2315","0.2315"
"168","0.1474","0.1474","0.1474","0.3215","0.3215","0.3215","0.2265","0.2265","0.2265"
"169","0.1483","0.1483","0.1483","0.281","0.281","0.281","0.2285","0.2285","0.2285"
"170","0.1493","0.1493","0.1493","0.328","0.328","0.328","0.229","0.229","0.229"
"171","0.15025","0.15025","0.15025","0.2965","0.2965","0.2965","0.233","0.233","0.233"
"172","0.1507","0.1507","0.1507","0.345","0.345","0.345","0.236","0.236","0.236"
"173","0.1517","0.1517","0.1517","0.299","0.299","0.299","0.242","0.242","0.242"
"174","0.15195","0.15195","0.15195","0.356","0.356","0.356","0.2445","0.2445","0.2445"
"175","0.0222","0.0222","0.0222","0.123","0.123","0.123","0.0055","0.0055","0.0055"
"176","0.04715","0.04715","0.04715","0.227","0.227","0.227","0.025","0.025","0.025"
"177","0.0742","0.0742","0.0742","0.2985","0.2985","0.2985","0.037","0.037","0.037"
"178","0.0965","0.0965","0.0965","0.253","0.253","0.253","0.0465","0.0465","0.0465"
"179","0.1107","0.1107","0.1107","0.3095","0.3095","0.3095","0.089","0.089","0.089"
"180","0.119","0.119","0.119","0.295","0.295","0.295","0.1375","0.1375","0.1375"
"181","0.12565","0.12565","0.12565","0.3305","0.3305","0.3305","0.1425","0.1425","0.1425"
"182","0.1325","0.1325","0.1325","0.3315","0.3315","0.3315","0.17","0.17","0.17"
"183","0.1383","0.1383","0.1383","0.357","0.357","0.357","0.1705","0.1705","0.1705"
"184","0.14255","0.14255","0.14255","0.346","0.346","0.346","0.189","0.189","0.189"
"185","0.14915","0.14915","0.14915","0.353","0.353","0.353","0.1915","0.1915","0.1915"
"186","0.1534","0.1534","0.1534","0.3655","0.3655","0.3655","0.1965","0.1965","0.1965"
"187","0.15555","0.15555","0.15555","0.3645","0.3645","0.3645","0.2025","0.2025","0.2025"
"188","0.1595","0.1595","0.1595","0.376","0.376","0.376","0.206","0.206","0.206"
"189","0.16305","0.16305","0.16305","0.368","0.368","0.368","0.1985","0.1985","0.1985"
