"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"339","","","","","","","","","","0.2365","0.2365","0.2365"
"341","","","","","","","","","","0.243","0.243","0.243"
"345","0.2615","0.2615","0.2615","","","","0.245","0.245","0.245","","",""
"350","","","","","","","","","","0","0","0"
"351","","","","","","","","","","0","0","0"
"355","","","","0.645","0.645","0.645","","","","","",""
"356","","","","0.64","0.64","0.64","","","","","",""
"357","","","","0.644","0.644","0.644","","","","","",""
"358","","","","","","","","","","0.177","0.177","0.177"
"359","","","","","","","","","","0.191","0.191","0.191"
"361","0.2125","0.2125","0.2125","0.653","0.653","0.653","0.197","0.197","0.197","","",""
"363","","","","","","","","","","0.2125","0.2125","0.2125"
"364","","","","0.6495","0.6495","0.6495","","","","","",""
"365","0.2315","0.2315","0.2315","","","","0.2085","0.2085","0.2085","","",""
"368","","","","","","","","","","0.2245","0.2245","0.2245"
"369","","","","0.6825","0.6825","0.6825","","","","","",""
"370","","","","0.6735","0.6735","0.6735","","","","","",""
"372","","","","","","","","","","0.229","0.229","0.229"
"375","0.001","0.001","0.001","","","","0.004","0.004","0.004","","",""
"380","","","","0.5565","0.5565","0.5565","","","","0.097","0.097","0.097"
"383","0.166","0.166","0.166","","","","0.1645","0.1645","0.1645","","",""
"384","0.182","0.182","0.182","","","","0.1715","0.1715","0.1715","0.1615","0.1615","0.1615"
"386","","","","0.571","0.571","0.571","","","","","",""
"389","","","","","","","","","","0.1775","0.1775","0.1775"
"392","0.199","0.199","0.199","","","","0.185","0.185","0.185","","",""
"395","","","","","","","","","","0.1945","0.1945","0.1945"
"396","0.2165","0.2165","0.2165","0.634","0.634","0.634","0.191","0.191","0.191","","",""
"398","","","","","","","","","","0.2065","0.2065","0.2065"
"399","","","","0.6215","0.6215","0.6215","","","","","",""
"400","","","","0","0","0","","","","","",""
"401","","","","0.5","0.5","0.5","","","","0","0","0"
"402","","","","0.539","0.539","0.539","","","","","",""
"404","","","","0.5285","0.5285","0.5285","","","","","",""
"406","","","","","","","","","","0.1405","0.1405","0.1405"
"411","","","","","","","","","","0.1685","0.1685","0.1685"
"416","0.206","0.206","0.206","","","","0.1855","0.1855","0.1855","","",""
"418","","","","","","","","","","0.1865","0.1865","0.1865"
"420","","","","","","","","","","0.196","0.196","0.196"
"421","0.21","0.21","0.21","0.652","0.652","0.652","0.195","0.195","0.195","","",""
"422","","","","","","","","","","0.1965","0.1965","0.1965"
"427","0.0005","0.0005","0.0005","","","","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"428","","","","","","","","","","0.0805","0.0805","0.0805"
"430","","","","0.6945","0.6945","0.6945","","","","","",""
"437","","","","0.7495","0.7495","0.7495","","","","0.234","0.234","0.234"
"438","","","","0.719","0.719","0.719","","","","0.2375","0.2375","0.2375"
"440","","","","","","","","","","0.2485","0.2485","0.2485"
"441","","","","","","","","","","0.2485","0.2485","0.2485"
"444","0.253","0.253","0.253","0.7295","0.7295","0.7295","0.2335","0.2335","0.2335","0.254","0.254","0.254"
"446","","","","","","","","","","0.261","0.261","0.261"
"450","","","","","","","","","","0","0","0"
"451","","","","","","","","","","0","0","0"
"453","0.0505","0.0505","0.0505","","","","0.07","0.07","0.07","0.0585","0.0585","0.0585"
"454","0.131","0.131","0.131","","","","0.1265","0.1265","0.1265","","",""
"460","0.202","0.202","0.202","","","","0.1915","0.1915","0.1915","","",""
"462","","","","0.6565","0.6565","0.6565","","","","","",""
"463","","","","0.6645","0.6645","0.6645","","","","","",""
"465","","","","0.654","0.654","0.654","","","","","",""
"466","0.228","0.228","0.228","","","","0.2095","0.2095","0.2095","","",""
"476","","","","0.5335","0.5335","0.5335","","","","","",""
"478","0.0575","0.0575","0.0575","","","","0.055","0.055","0.055","","",""
"480","","","","","","","","","","0.134","0.134","0.134"
"482","","","","0.6915","0.6915","0.6915","","","","0.1605","0.1605","0.1605"
"484","","","","0.736","0.736","0.736","","","","","",""
"485","","","","","","","","","","0.201","0.201","0.201"
"486","0.213","0.213","0.213","0.736","0.736","0.736","0.208","0.208","0.208","","",""
"487","","","","","","","","","","0.217","0.217","0.217"
"497","0.244","0.244","0.244","","","","0.2415","0.2415","0.2415","","",""
"498","","","","0.776","0.776","0.776","","","","","",""
"499","","","","0.77","0.77","0.77","","","","","",""
"500","","","","","","","","","","0.0095","0.0095","0.0095"
"501","0.02","0.02","0.02","","","","0.02","0.02","0.02","","",""
"503","","","","","","","","","","0.104","0.104","0.104"
"504","","","","0.6665","0.6665","0.6665","","","","","",""
"508","","","","0.6995","0.6995","0.6995","","","","","",""
"509","","","","","","","","","","0.213","0.213","0.213"
"516","","","","","","","","","","0.2445","0.2445","0.2445"
"520","0.2565","0.2565","0.2565","","","","0.2415","0.2415","0.2415","","",""
"521","0.256","0.256","0.256","","","","0.2435","0.2435","0.2435","","",""
"524","","","","","","","","","","0.2615","0.2615","0.2615"
"530","","","","0.5845","0.5845","0.5845","","","","","",""
"533","","","","0.5805","0.5805","0.5805","","","","","",""
"535","0.2135","0.2135","0.2135","0.585","0.585","0.585","0.2095","0.2095","0.2095","","",""
"537","","","","","","","","","","0.222","0.222","0.222"
"541","","","","","","","","","","0.237","0.237","0.237"
"542","","","","","","","","","","0.2355","0.2355","0.2355"
"543","0.245","0.245","0.245","","","","0.237","0.237","0.237","","",""
"546","","","","0.6705","0.6705","0.6705","","","","0.236","0.236","0.236"
"551","0.037","0.037","0.037","","","","0.0365","0.0365","0.0365","","",""
"554","","","","0.582","0.582","0.582","","","","0.085","0.085","0.085"
"556","0.159","0.159","0.159","","","","0.1605","0.1605","0.1605","","",""
"558","","","","0.6385","0.6385","0.6385","","","","","",""
"561","","","","0.6755","0.6755","0.6755","","","","","",""
"562","0.219","0.219","0.219","","","","0.2095","0.2095","0.2095","0.2115","0.2115","0.2115"
"563","","","","","","","","","","0.218","0.218","0.218"
"564","0.227","0.227","0.227","","","","0.217","0.217","0.217","","",""
"568","","","","","","","","","","0.2305","0.2305","0.2305"
"569","0.2405","0.2405","0.2405","","","","0.221","0.221","0.221","","",""
"570","","","","0.6875","0.6875","0.6875","","","","","",""
"575","0","0","0","","","","0","0","0","","",""
"579","0.1055","0.1055","0.1055","","","","0.1145","0.1145","0.1145","","",""
"580","","","","0.6235","0.6235","0.6235","","","","","",""
"587","","","","0.681","0.681","0.681","","","","0.1945","0.1945","0.1945"
"588","","","","","","","","","","0.1955","0.1955","0.1955"
"589","","","","","","","","","","0.1975","0.1975","0.1975"
"591","","","","0.6875","0.6875","0.6875","","","","","",""
"593","","","","0.668","0.668","0.668","","","","","",""
"596","0.216","0.216","0.216","","","","0.198","0.198","0.198","","",""
"597","0.2195","0.2195","0.2195","","","","0.195","0.195","0.195","0.2095","0.2095","0.2095"
"600","","","","0","0","0","","","","","",""
"601","0","0","0","0.5905","0.5905","0.5905","0","0","0","0","0","0"
"602","","","","0.5585","0.5585","0.5585","","","","","",""
"603","0.026","0.026","0.026","0.59","0.59","0.59","0.0305","0.0305","0.0305","","",""
"612","0.2125","0.2125","0.2125","","","","0.2015","0.2015","0.2015","","",""
"617","0.2305","0.2305","0.2305","","","","0.214","0.214","0.214","0.232","0.232","0.232"
"620","","","","0.681","0.681","0.681","","","","","",""
"622","0.244","0.244","0.244","","","","0.2325","0.2325","0.2325","","",""
"625","0","0","0","0","0","0","0","0","0","0","0","0"
"626","","","","0.5755","0.5755","0.5755","","","","","",""
"627","","","","","","","","","","0.038","0.038","0.038"
