"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MAX","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"45","0.009578289687633515","0.009578289687633515","0.009578289687633515","0.016613838858902455","0.016613838858902455","0.016613838858902455","0.07205519000184722","0.07205519000184722","0.07205519000184722","0.01244579128921032","0.01244579128921032","0.01244579128921032"
"46","0.009021059274673462","0.009021059274673462","0.009021059274673462","0.015369218252599239","0.015369218252599239","0.015369218252599239","0.07156252816319465","0.07156252816319465","0.07156252816319465","0.011290257573127746","0.011290257573127746","0.011290257573127746"
"47","0.008984755128622054","0.008984755128622054","0.008984755128622054","0.014933399707078934","0.014933399707078934","0.014933399707078934","0.07099780473858118","0.07099780473858118","0.07099780473858118","0.01084570661187172","0.01084570661187172","0.01084570661187172"
"48","0.009069806188344956","0.009069806188344956","0.009069806188344956","0.01520402766764164","0.01520402766764164","0.01520402766764164","0.0705419395165518","0.0705419395165518","0.0705419395165518","0.010972134172916412","0.010972134172916412","0.010972134172916412"
"49","0.00860275685787201","0.00860275685787201","0.00860275685787201","0.014733723083045333","0.014733723083045333","0.014733723083045333","0.0699315462494269","0.0699315462494269","0.0699315462494269","0.01095157839357853","0.01095157839357853","0.01095157839357853"
"50","0.008311787396669388","0.008311787396669388","0.008311787396669388","0.013825039565563201","0.013825039565563201","0.013825039565563201","0.06956846827641129","0.06956846827641129","0.06956846827641129","0.010286661759018899","0.010286661759018899","0.010286661759018899"
"51","0.15543264910578727","0.15543264910578727","0.15543264910578727","0.14959614020946901","0.14959614020946901","0.14959614020946901","0.14230745842680334","0.14230745842680334","0.14230745842680334","0.1942470593377948","0.1942470593377948","0.1942470593377948"
"52","0.13566352222114803","0.13566352222114803","0.13566352222114803","0.11975202376605011","0.11975202376605011","0.11975202376605011","0.11320473171537743","0.11320473171537743","0.11320473171537743","0.10568162108444085","0.10568162108444085","0.10568162108444085"
"53","0.11899606437422335","0.11899606437422335","0.11899606437422335","0.0722520942054689","0.0722520942054689","0.0722520942054689","0.09959486407693476","0.09959486407693476","0.09959486407693476","0.06342720885761083","0.06342720885761083","0.06342720885761083"
"54","0.09201329152216203","0.09201329152216203","0.09201329152216203","0.055526142329908906","0.055526142329908906","0.055526142329908906","0.09041826889799723","0.09041826889799723","0.09041826889799723","0.0451745917648077","0.0451745917648077","0.0451745917648077"
"55","0.06590210309252142","0.06590210309252142","0.06590210309252142","0.04549259066581726","0.04549259066581726","0.04549259066581726","0.08468417405267246","0.08468417405267246","0.08468417405267246","0.03667327601462603","0.03667327601462603","0.03667327601462603"
"56","0.04732087690383196","0.04732087690383196","0.04732087690383196","0.038588234414346514","0.038588234414346514","0.038588234414346514","0.07983534610131755","0.07983534610131755","0.07983534610131755","0.03042884137481451","0.03042884137481451","0.03042884137481451"
"57","0.03657933302223682","0.03657933302223682","0.03657933302223682","0.03394821187481284","0.03394821187481284","0.03394821187481284","0.07726463343888099","0.07726463343888099","0.07726463343888099","0.025794689282774924","0.025794689282774924","0.025794689282774924"
"58","0.02961602233350277","0.02961602233350277","0.02961602233350277","0.02929160239174962","0.02929160239174962","0.02929160239174962","0.07495307079516352","0.07495307079516352","0.07495307079516352","0.02422656789422035","0.02422656789422035","0.02422656789422035"
"59","0.024790839925408363","0.024790839925408363","0.024790839925408363","0.028882644987897946","0.028882644987897946","0.028882644987897946","0.07314931320957839","0.07314931320957839","0.07314931320957839","0.02043560568243265","0.02043560568243265","0.02043560568243265"
"60","0.021178569197654724","0.021178569197654724","0.021178569197654724","0.025147351901978254","0.025147351901978254","0.025147351901978254","0.07160111553035677","0.07160111553035677","0.07160111553035677","0.019922598004341124","0.019922598004341124","0.019922598004341124"
"61","0.018425265699625014","0.018425265699625014","0.018425265699625014","0.022960805036127567","0.022960805036127567","0.022960805036127567","0.07050016036089801","0.07050016036089801","0.07050016036089801","0.018341675773262976","0.018341675773262976","0.018341675773262976"
"62","0.01668712019920349","0.01668712019920349","0.01668712019920349","0.021742206439375876","0.021742206439375876","0.021742206439375876","0.06955700535792858","0.06955700535792858","0.06955700535792858","0.016793607883155346","0.016793607883155346","0.016793607883155346"
"63","0.014393687546253205","0.014393687546253205","0.014393687546253205","0.021759873926639556","0.021759873926639556","0.021759873926639556","0.06880299624986946","0.06880299624986946","0.06880299624986946","0.01727233365178108","0.01727233365178108","0.01727233365178108"
"64","0.013037369549274445","0.013037369549274445","0.013037369549274445","0.02278147742152214","0.02278147742152214","0.02278147742152214","0.06823810122441501","0.06823810122441501","0.06823810122441501","0.014553078971803189","0.014553078971803189","0.014553078971803189"
"65","0.012565272599458695","0.012565272599458695","0.012565272599458695","0.020188825614750387","0.020188825614750387","0.020188825614750387","0.06763606853142846","0.06763606853142846","0.06763606853142846","0.013339621126651763","0.013339621126651763","0.013339621126651763"
"66","0.011978337913751603","0.011978337913751603","0.011978337913751603","0.018123417273163796","0.018123417273163796","0.018123417273163796","0.06716349130496382","0.06716349130496382","0.06716349130496382","0.012746897414326669","0.012746897414326669","0.012746897414326669"
"67","0.011244866698980331","0.011244866698980331","0.011244866698980331","0.017048037834465502","0.017048037834465502","0.017048037834465502","0.06690437801647932","0.06690437801647932","0.06690437801647932","0.012818845827132464","0.012818845827132464","0.012818845827132464"
