"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MAX"
"59","0.02163778096437454","0.02163778096437454","0.02163778096437454","0.031211308501660824","0.031211308501660824","0.031211308501660824","0.054112645350396636","0.054112645350396636","0.054112645350396636","0.02423672132194042","0.02423672132194042","0.02423672132194042"
"60","0.018891409747302534","0.018891409747302534","0.018891409747302534","0.02723030252382159","0.02723030252382159","0.02723030252382159","0.046445710584521294","0.046445710584521294","0.046445710584521294","0.021333167627453804","0.021333167627453804","0.021333167627453804"
"61","0.018153898529708386","0.018153898529708386","0.018153898529708386","0.024921355918049812","0.024921355918049812","0.024921355918049812","0.04084277771413326","0.04084277771413326","0.04084277771413326","0.018454002887010573","0.018454002887010573","0.018454002887010573"
"62","0.016542962081730367","0.016542962081730367","0.016542962081730367","0.02351028800010681","0.02351028800010681","0.02351028800010681","0.03577475383877754","0.03577475383877754","0.03577475383877754","0.016340593099594115","0.016340593099594115","0.016340593099594115"
"63","0.016232585310935976","0.016232585310935976","0.016232585310935976","0.021231360919773578","0.021231360919773578","0.021231360919773578","0.03260252520442009","0.03260252520442009","0.03260252520442009","0.01481932207942009","0.01481932207942009","0.01481932207942009"
"64","0.014810823537409305","0.014810823537409305","0.014810823537409305","0.01996029172092676","0.01996029172092676","0.01996029172092676","0.029429466053843497","0.029429466053843497","0.029429466053843497","0.013173549473285674","0.013173549473285674","0.013173549473285674"
"65","0.013913756534457207","0.013913756534457207","0.013913756534457207","0.018631534185260534","0.018631534185260534","0.018631534185260534","0.02789104402065277","0.02789104402065277","0.02789104402065277","0.01269994392991066","0.01269994392991066","0.01269994392991066"
"66","0.012768195793032646","0.012768195793032646","0.012768195793032646","0.01788838367909193","0.01788838367909193","0.01788838367909193","0.02622307986021042","0.02622307986021042","0.02622307986021042","0.011262465417385101","0.011262465417385101","0.011262465417385101"
"67","0.013969143107533454","0.013969143107533454","0.013969143107533454","0.017141287997364998","0.017141287997364998","0.017141287997364998","0.025541032627224923","0.025541032627224923","0.025541032627224923","0.010551785975694656","0.010551785975694656","0.010551785975694656"
"68","0.011565709710121155","0.011565709710121155","0.011565709710121155","0.016579705122858286","0.016579705122858286","0.016579705122858286","0.023527072817087172","0.023527072817087172","0.023527072817087172","0.010083956718444824","0.010083956718444824","0.010083956718444824"
"69","0.012340146750211715","0.012340146750211715","0.012340146750211715","0.01628777798265219","0.01628777798265219","0.01628777798265219","0.022670656517148016","0.022670656517148016","0.022670656517148016","0.00946602702140808","0.00946602702140808","0.00946602702140808"
"70","0.011004805974662303","0.011004805974662303","0.011004805974662303","0.014751559682190418","0.014751559682190418","0.014751559682190418","0.02244073525071144","0.02244073525071144","0.02244073525071144","0.008881290704011916","0.008881290704011916","0.008881290704011916"
"71","0.01088963657617569","0.01088963657617569","0.01088963657617569","0.015462433714419603","0.015462433714419603","0.015462433714419603","0.02183251105248928","0.02183251105248928","0.02183251105248928","0.008873780816793441","0.008873780816793441","0.008873780816793441"
"72","0.01074931338429451","0.01074931338429451","0.01074931338429451","0.014832463823258877","0.014832463823258877","0.014832463823258877","0.0211869890242815","0.0211869890242815","0.0211869890242815","","",""
"73","0.010905810296535492","0.010905810296535492","0.010905810296535492","0.015499143451452256","0.015499143451452256","0.015499143451452256","0.020618842169642448","0.020618842169642448","0.020618842169642448","0.007823969125747681","0.007823969125747681","0.007823969125747681"
"74","0.009875540360808373","0.009875540360808373","0.009875540360808373","0.013728687688708305","0.013728687688708305","0.013728687688708305","0.020047364979982375","0.020047364979982375","0.020047364979982375","0.0073674581944942474","0.0073674581944942474","0.0073674581944942474"
"75","0.010506050139665603","0.010506050139665603","0.010506050139665603","0.01374946502968669","0.01374946502968669","0.01374946502968669","0.020117699950933456","0.020117699950933456","0.020117699950933456","0.007428398430347443","0.007428398430347443","0.007428398430347443"
"76","0.18043048731982708","0.18043048731982708","0.18043048731982708","0.1293866806384176","0.1293866806384176","0.1293866806384176","0.15357691802084447","0.15357691802084447","0.15357691802084447","0.1646878097206354","0.1646878097206354","0.1646878097206354"
"77","0.10693119160743664","0.10693119160743664","0.10693119160743664","0.121606966528052","0.121606966528052","0.121606966528052","0.13472673885524272","0.13472673885524272","0.13472673885524272","","",""
"78","0.06511596835800447","0.06511596835800447","0.06511596835800447","0.0906363920608419","0.0906363920608419","0.0906363920608419","0.12054128510761075","0.12054128510761075","0.12054128510761075","0.11681023756580544","0.11681023756580544","0.11681023756580544"
"79","0.04681066538440064","0.04681066538440064","0.04681066538440064","0.06955346507020295","0.06955346507020295","0.06955346507020295","0.10516926133714151","0.10516926133714151","0.10516926133714151","0.08715449087787419","0.08715449087787419","0.08715449087787419"
"80","0.03752444326877594","0.03752444326877594","0.03752444326877594","0.057850598078221085","0.057850598078221085","0.057850598078221085","0.09187813035052386","0.09187813035052386","0.09187813035052386","0.06359568803571164","0.06359568803571164","0.06359568803571164"
"81","0.032159097213298085","0.032159097213298085","0.032159097213298085","0.049378262143582104","0.049378262143582104","0.049378262143582104","0.07836003097239881","0.07836003097239881","0.07836003097239881","0.04668238505721092","0.04668238505721092","0.04668238505721092"
"82","0.027119288267567754","0.027119288267567754","0.027119288267567754","0.04367819482460618","0.04367819482460618","0.04367819482460618","0.06761625213548542","0.06761625213548542","0.06761625213548542","0.03520680040121078","0.03520680040121078","0.03520680040121078"
"83","0.0239209434017539","0.0239209434017539","0.0239209434017539","0.03814936794340611","0.03814936794340611","0.03814936794340611","0.058132852762937545","0.058132852762937545","0.058132852762937545","0.028222787529230117","0.028222787529230117","0.028222787529230117"
"84","0.021550209280103445","0.021550209280103445","0.021550209280103445","0.03376157943159342","0.03376157943159342","0.03376157943159342","0.05056438680738211","0.05056438680738211","0.05056438680738211","0.023423901572823525","0.023423901572823525","0.023423901572823525"
"85","0.01961767449975014","0.01961767449975014","0.01961767449975014","0.031027344688773155","0.031027344688773155","0.031027344688773155","0.04323810905218124","0.04323810905218124","0.04323810905218124","0.020971940457820894","0.020971940457820894","0.020971940457820894"
"86","0.017402387615293266","0.017402387615293266","0.017402387615293266","0.027123554274439812","0.027123554274439812","0.027123554274439812","0.03736880868673324","0.03736880868673324","0.03736880868673324","0.018451497480273246","0.018451497480273246","0.018451497480273246"
