"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MAX"
"190","0.15525","0.15525","0.15525","0.1654","0.1654","0.1654","0.356","0.356","0.356"
"191","0.15765","0.15765","0.15765","0.1684","0.1684","0.1684","0.354","0.354","0.354"
"192","0.1602","0.1602","0.1602","0.1695","0.1695","0.1695","0.3565","0.3565","0.3565"
"193","0.16205","0.16205","0.16205","0.17135","0.17135","0.17135","0.36","0.36","0.36"
"194","0.1645","0.1645","0.1645","0.17335","0.17335","0.17335","0.376","0.376","0.376"
"195","0.1659","0.1659","0.1659","0.174","0.174","0.174","0.3715","0.3715","0.3715"
"196","0.1667","0.1667","0.1667","0.175","0.175","0.175","0.356","0.356","0.356"
"197","0.16875","0.16875","0.16875","0.175","0.175","0.175","0.3655","0.3655","0.3655"
"198","0.1691","0.1691","0.1691","0.1786","0.1786","0.1786","0.3745","0.3745","0.3745"
"199","0.17005","0.17005","0.17005","0.1769","0.1769","0.1769","0.3765","0.3765","0.3765"
"200","0.02715","0.02715","0.02715","0.0278","0.0278","0.0278","0","0","0"
"201","0.04945","0.04945","0.04945","0.05515","0.05515","0.05515","0.0005","0.0005","0.0005"
"202","0.07355","0.07355","0.07355","0.08195","0.08195","0.08195","0.0545","0.0545","0.0545"
"203","0.09745","0.09745","0.09745","0.1074","0.1074","0.1074","0.0685","0.0685","0.0685"
"204","0.1126","0.1126","0.1126","0.1241","0.1241","0.1241","0.128","0.128","0.128"
"205","0.12705","0.12705","0.12705","0.13335","0.13335","0.13335","0.219","0.219","0.219"
"206","0.1362","0.1362","0.1362","0.1433","0.1433","0.1433","0.27","0.27","0.27"
"207","0.1442","0.1442","0.1442","0.1491","0.1491","0.1491","0.2755","0.2755","0.2755"
"208","0.1483","0.1483","0.1483","0.1557","0.1557","0.1557","0.313","0.313","0.313"
"209","0.1535","0.1535","0.1535","0.1608","0.1608","0.1608","0.2985","0.2985","0.2985"
"210","0.1584","0.1584","0.1584","0.1658","0.1658","0.1658","0.3115","0.3115","0.3115"
"211","0.1626","0.1626","0.1626","0.16885","0.16885","0.16885","0.328","0.328","0.328"
"212","0.16555","0.16555","0.16555","0.17095","0.17095","0.17095","0.3265","0.3265","0.3265"
"213","0.1684","0.1684","0.1684","0.1742","0.1742","0.1742","0.3245","0.3245","0.3245"
"214","0.17025","0.17025","0.17025","0.1764","0.1764","0.1764","0.33","0.33","0.33"
"215","0.1732","0.1732","0.1732","0.17895","0.17895","0.17895","0.341","0.341","0.341"
"216","0.17405","0.17405","0.17405","0.1794","0.1794","0.1794","0.3225","0.3225","0.3225"
"217","0.1774","0.1774","0.1774","0.1821","0.1821","0.1821","0.346","0.346","0.346"
"218","0.1796","0.1796","0.1796","0.1827","0.1827","0.1827","0.3495","0.3495","0.3495"
"219","0.1806","0.1806","0.1806","0.18425","0.18425","0.18425","0.355","0.355","0.355"
"220","0.1815","0.1815","0.1815","0.18405","0.18405","0.18405","0.3585","0.3585","0.3585"
"221","0.18255","0.18255","0.18255","0.1838","0.1838","0.1838","0.343","0.343","0.343"
"222","0.1837","0.1837","0.1837","0.1856","0.1856","0.1856","0.3565","0.3565","0.3565"
"223","0.18485","0.18485","0.18485","0.18675","0.18675","0.18675","0.358","0.358","0.358"
"224","0.18445","0.18445","0.18445","0.1859","0.1859","0.1859","0.3585","0.3585","0.3585"
"225","0.02605","0.02605","0.02605","0.02755","0.02755","0.02755","0","0","0"
"226","0.05165","0.05165","0.05165","0.05885","0.05885","0.05885","0","0","0"
"227","0.0716","0.0716","0.0716","0.07995","0.07995","0.07995","0.055","0.055","0.055"
"228","0.0923","0.0923","0.0923","0.10095","0.10095","0.10095","0.082","0.082","0.082"
"229","0.10995","0.10995","0.10995","0.12085","0.12085","0.12085","0.1605","0.1605","0.1605"
"230","0.1228","0.1228","0.1228","0.13395","0.13395","0.13395","0.252","0.252","0.252"
"231","0.13205","0.13205","0.13205","0.14225","0.14225","0.14225","0.286","0.286","0.286"
"232","0.1392","0.1392","0.1392","0.1489","0.1489","0.1489","0.3385","0.3385","0.3385"
"233","0.1446","0.1446","0.1446","0.1536","0.1536","0.1536","0.348","0.348","0.348"
"234","0.1497","0.1497","0.1497","0.15845","0.15845","0.15845","0.346","0.346","0.346"
"235","0.1528","0.1528","0.1528","0.1598","0.1598","0.1598","0.3625","0.3625","0.3625"
"236","0.15685","0.15685","0.15685","0.16235","0.16235","0.16235","0.362","0.362","0.362"
"237","0.15925","0.15925","0.15925","0.16615","0.16615","0.16615","0.384","0.384","0.384"
"238","0.1608","0.1608","0.1608","0.16645","0.16645","0.16645","0.383","0.383","0.383"
"239","0.16245","0.16245","0.16245","0.16795","0.16795","0.16795","0.381","0.381","0.381"
