"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"21679","0.983","0.983","0.983"
"21680","0.983","0.983","0.983"
"21682","0.983","0.983","0.983"
"21689","0.984","0.984","0.984"
"21691","0.984","0.984","0.984"
"21693","0.983","0.983","0.983"
"21696","0.984","0.984","0.984"
"21698","0.984","0.984","0.984"
"21705","0.984","0.984","0.984"
"21706","0.984","0.984","0.984"
"21711","0.984","0.984","0.984"
"21712","0.984","0.984","0.984"
"21713","0.984","0.984","0.984"
"21715","0.984","0.984","0.984"
"21716","0.983","0.983","0.983"
"21721","0.984","0.984","0.984"
"21722","0.984","0.984","0.984"
"21723","0.984","0.984","0.984"
"21727","0.983","0.983","0.983"
"21728","0.984","0.984","0.984"
"21731","0.984","0.984","0.984"
"21732","0.984","0.984","0.984"
"21736","0.984","0.984","0.984"
"21738","0.983","0.983","0.983"
"21741","0.984","0.984","0.984"
"21745","0.984","0.984","0.984"
"21746","0.984","0.984","0.984"
"21747","0.984","0.984","0.984"
"21748","0.983","0.983","0.983"
"21751","0.984","0.984","0.984"
"21753","0.984","0.984","0.984"
"21756","0.984","0.984","0.984"
"21757","0.984","0.984","0.984"
"21762","0.984","0.984","0.984"
"21765","0.984","0.984","0.984"
"21766","0.983","0.983","0.983"
"21772","0.984","0.984","0.984"
"21774","0.984","0.984","0.984"
"21776","0.984","0.984","0.984"
"21777","0.984","0.984","0.984"
"21781","0.985","0.985","0.985"
"21783","0.984","0.984","0.984"
"21788","0.983","0.983","0.983"
"21790","0.984","0.984","0.984"
"21793","0.984","0.984","0.984"
"21794","0.984","0.984","0.984"
"21800","0.985","0.985","0.985"
"21802","0.984","0.984","0.984"
"21803","0.985","0.985","0.985"
"21811","0.984","0.984","0.984"
"21813","0.985","0.985","0.985"
"21814","0.986","0.986","0.986"
"21815","0.985","0.985","0.985"
"21816","0.984","0.984","0.984"
"21818","0.984","0.984","0.984"
"21819","0.984","0.984","0.984"
"21822","0.985","0.985","0.985"
"21823","0.984","0.984","0.984"
"21826","0.984","0.984","0.984"
"21830","0.983","0.983","0.983"
"21831","0.984","0.984","0.984"
"21833","0.984","0.984","0.984"
"21840","0.984","0.984","0.984"
"21842","0.984","0.984","0.984"
"21847","0.985","0.985","0.985"
"21848","0.986","0.986","0.986"
"21849","0.985","0.985","0.985"
"21850","0.985","0.985","0.985"
"21854","0.985","0.985","0.985"
"21857","0.984","0.984","0.984"
"21858","0.984","0.984","0.984"
"21860","0.983","0.983","0.983"
"21862","0.984","0.984","0.984"
"21863","0.984","0.984","0.984"
"21870","0.983","0.983","0.983"
"21871","0.985","0.985","0.985"
"21874","0.983","0.983","0.983"
"21875","0.984","0.984","0.984"
"21876","0.985","0.985","0.985"
"21879","0.984","0.984","0.984"
"21883","0.984","0.984","0.984"
"21884","0.984","0.984","0.984"
"21885","0.985","0.985","0.985"
"21886","0.984","0.984","0.984"
"21889","0.984","0.984","0.984"
"21890","0.984","0.984","0.984"
"21893","0.984","0.984","0.984"
"21894","0.984","0.984","0.984"
"21902","0.983","0.983","0.983"
"21907","0.985","0.985","0.985"
"21909","0.984","0.984","0.984"
"21913","0.984","0.984","0.984"
"21920","0.985","0.985","0.985"
"21923","0.985","0.985","0.985"
"21924","0.984","0.984","0.984"
"21925","0.986","0.986","0.986"
"21929","0.984","0.984","0.984"
"21936","0.986","0.986","0.986"
"21938","0.985","0.985","0.985"
"21939","0.983","0.983","0.983"
"21945","0.985","0.985","0.985"
"21946","0.985","0.985","0.985"
"21948","0.974","0.974","0.974"
"21950","0.83","0.83","0.83"
"21952","0.956","0.956","0.956"
"21953","0.928","0.928","0.928"
"21957","0.98","0.98","0.98"
"21959","0.979","0.979","0.979"
"21960","0.981","0.981","0.981"
"21969","0.982","0.982","0.982"
"21971","0.984","0.984","0.984"
"21974","0.982","0.982","0.982"
"21977","0.981","0.981","0.981"
"21982","0.982","0.982","0.982"
"21989","0.983","0.983","0.983"
"21990","0.981","0.981","0.981"
"21993","0.982","0.982","0.982"
"21998","0.982","0.982","0.982"
"22006","0.493","0.493","0.493"
"22007","0.489","0.489","0.489"
"22008","0.492","0.492","0.492"
"22009","0.492","0.492","0.492"
"22011","0.496","0.496","0.496"
"22012","0.502","0.502","0.502"
"22020","0.868","0.868","0.868"
"22024","0.914","0.914","0.914"
"22026","0.936","0.936","0.936"
"22028","0.938","0.938","0.938"
"22032","0.936","0.936","0.936"
"22034","0.915","0.915","0.915"
"22037","0.876","0.876","0.876"
"22043","0.976","0.976","0.976"
"22046","0.983","0.983","0.983"
"22047","0.983","0.983","0.983"
"22055","0.987","0.987","0.987"
"22056","0.986","0.986","0.986"
"22058","0.985","0.985","0.985"
"22059","0.984","0.984","0.984"
"22066","0.983","0.983","0.983"
"22069","0.987","0.987","0.987"
"22071","0.989","0.989","0.989"
"22074","0.987","0.987","0.987"
"22075","0.985","0.985","0.985"
"22083","0.987","0.987","0.987"
"22093","0.989","0.989","0.989"
"22095","0.985","0.985","0.985"
"22096","0.986","0.986","0.986"
"22097","0.989","0.989","0.989"
"22102","0.988","0.988","0.988"
"22103","0.987","0.987","0.987"
"22114","0.989","0.989","0.989"
"22126","0.99","0.99","0.99"
"22128","0.99","0.99","0.99"
"22130","0.991","0.991","0.991"
"22131","0.989","0.989","0.989"
"22134","0.988","0.988","0.988"
"22135","0.989","0.989","0.989"
"22139","0.989","0.989","0.989"
"22142","0.99","0.99","0.99"
"22143","0.99","0.99","0.99"
"22144","0.99","0.99","0.99"
"22146","0.99","0.99","0.99"
"22147","0.992","0.992","0.992"
"22149","0.99","0.99","0.99"
"22151","0.991","0.991","0.991"
"22153","0.99","0.99","0.99"
"22158","0.99","0.99","0.99"
"22159","0.992","0.992","0.992"
"22165","0.989","0.989","0.989"
"22167","0.99","0.99","0.99"
"22168","0.99","0.99","0.99"
"22169","0.987","0.987","0.987"
"22171","0.99","0.99","0.99"
"22174","0.991","0.991","0.991"
"22180","0.993","0.993","0.993"
"22181","0.988","0.988","0.988"
"22183","0.993","0.993","0.993"
"22184","0.993","0.993","0.993"
"22189","0.993","0.993","0.993"
"22191","0.991","0.991","0.991"
"22193","0.992","0.992","0.992"
"22194","0.991","0.991","0.991"
"22195","0.992","0.992","0.992"
"22201","0.994","0.994","0.994"
"22207","0.987","0.987","0.987"
"22208","0.992","0.992","0.992"
"22213","0.993","0.993","0.993"
"22220","0.992","0.992","0.992"
"22221","0.992","0.992","0.992"
"22222","0.992","0.992","0.992"
"22226","0.992","0.992","0.992"
"22228","0.992","0.992","0.992"
"22235","0.989","0.989","0.989"
"22241","0.989","0.989","0.989"
"22242","0.99","0.99","0.99"
"22244","0.992","0.992","0.992"
"22247","0.991","0.991","0.991"
"22254","0.991","0.991","0.991"
"22257","0.989","0.989","0.989"
"22258","0.991","0.991","0.991"
"22262","0.991","0.991","0.991"
"22265","0.988","0.988","0.988"
"22267","0.991","0.991","0.991"
"22271","0.992","0.992","0.992"
"22272","0.99","0.99","0.99"
"22275","0.988","0.988","0.988"
"22276","0.989","0.989","0.989"
"22277","0.987","0.987","0.987"
"22280","0.988","0.988","0.988"
"22281","0.99","0.99","0.99"
"22282","0.988","0.988","0.988"
"22283","0.988","0.988","0.988"
"22287","0.989","0.989","0.989"
"22295","0.99","0.99","0.99"
"22296","0.989","0.989","0.989"
"22297","0.99","0.99","0.99"
"22300","0.99","0.99","0.99"
"22301","0.989","0.989","0.989"
"22304","0.99","0.99","0.99"
"22305","0.991","0.991","0.991"
"22307","0.991","0.991","0.991"
"22308","0.99","0.99","0.99"
"22311","0.989","0.989","0.989"
"22317","0.99","0.99","0.99"
"22318","0.991","0.991","0.991"
"22320","0.991","0.991","0.991"
"22323","0.988","0.988","0.988"
"22325","0.991","0.991","0.991"
"22331","0.991","0.991","0.991"
"22336","0.992","0.992","0.992"
"22337","0.99","0.99","0.99"
"22342","0.991","0.991","0.991"
"22345","0.989","0.989","0.989"
"22351","0.991","0.991","0.991"
"22352","0.99","0.99","0.99"
"22354","0.988","0.988","0.988"
"22356","0.99","0.99","0.99"
"22357","0.99","0.99","0.99"
"22361","0.99","0.99","0.99"
"22364","0.989","0.989","0.989"
"22368","0.991","0.991","0.991"
"22369","0.991","0.991","0.991"
"22373","0.988","0.988","0.988"
"22376","0.99","0.99","0.99"
"22377","0.99","0.99","0.99"
"22379","0.989","0.989","0.989"
"22389","0.99","0.99","0.99"
"22391","0.988","0.988","0.988"
"22398","0.992","0.992","0.992"
"22400","0.94","0.94","0.94"
"22404","0.987","0.987","0.987"
"22405","0.989","0.989","0.989"
"22407","0.986","0.986","0.986"
"22408","0.99","0.99","0.99"
"22409","0.99","0.99","0.99"
"22412","0.99","0.99","0.99"
"22416","0.991","0.991","0.991"
"22418","0.992","0.992","0.992"
"22426","0.99","0.99","0.99"
"22427","0.991","0.991","0.991"
"22431","0.991","0.991","0.991"
"22440","0.989","0.989","0.989"
"22442","0.99","0.99","0.99"
"22443","0.99","0.99","0.99"
"22446","0.99","0.99","0.99"
"22448","0.989","0.989","0.989"
"22449","0.99","0.99","0.99"
"22450","0.989","0.989","0.989"
"22452","0.989","0.989","0.989"
"22454","0.99","0.99","0.99"
"22455","0.991","0.991","0.991"
"22458","0.992","0.992","0.992"
"22464","0.992","0.992","0.992"
"22465","0.991","0.991","0.991"
"22466","0.99","0.99","0.99"
"22467","0.991","0.991","0.991"
"22475","0.991","0.991","0.991"
"22478","0.99","0.99","0.99"
"22480","0.989","0.989","0.989"
"22481","0.99","0.99","0.99"
"22485","0.989","0.989","0.989"
"22486","0.99","0.99","0.99"
"22487","0.991","0.991","0.991"
"22489","0.989","0.989","0.989"
"22490","0.99","0.99","0.99"
"22491","0.991","0.991","0.991"
"22492","0.991","0.991","0.991"
"22494","0.991","0.991","0.991"
"22495","0.994","0.994","0.994"
"22499","0.991","0.991","0.991"
"22502","0.991","0.991","0.991"
"22503","0.99","0.99","0.99"
"22504","0.992","0.992","0.992"
"22507","0.993","0.993","0.993"
"22509","0.99","0.99","0.99"
"22512","0.991","0.991","0.991"
"22513","0.989","0.989","0.989"
"22514","0.99","0.99","0.99"
"22518","0.99","0.99","0.99"
"22525","0.991","0.991","0.991"
"22527","0.991","0.991","0.991"
"22529","0.991","0.991","0.991"
"22532","0.991","0.991","0.991"
"22535","0.99","0.99","0.99"
"22539","0.991","0.991","0.991"
"22545","0.991","0.991","0.991"
"22546","0.992","0.992","0.992"
"22547","0.99","0.99","0.99"
"22552","0.991","0.991","0.991"
"22554","0.991","0.991","0.991"
"22557","0.991","0.991","0.991"
"22561","0.99","0.99","0.99"
"22564","0.99","0.99","0.99"
"22566","0.989","0.989","0.989"
"22575","0.99","0.99","0.99"
"22587","0.993","0.993","0.993"
"22591","0.992","0.992","0.992"
"22597","0.991","0.991","0.991"
"22608","0.992","0.992","0.992"
"22610","0.99","0.99","0.99"
"22614","0.63","0.63","0.63"
"22617","0.927","0.927","0.927"
"22618","0.947","0.947","0.947"
"22623","0.982","0.982","0.982"
"22624","0.984","0.984","0.984"
"22630","0.984","0.984","0.984"
"22631","0.984","0.984","0.984"
"22634","0.987","0.987","0.987"
"22635","0.985","0.985","0.985"
"22638","0.985","0.985","0.985"
"22643","0.987","0.987","0.987"
"22644","0.989","0.989","0.989"
"22646","0.987","0.987","0.987"
"22647","0.986","0.986","0.986"
"22651","0.989","0.989","0.989"
"22654","0.99","0.99","0.99"
"22656","0.99","0.99","0.99"
"22665","0.988","0.988","0.988"
"22668","0.989","0.989","0.989"
"22669","0.989","0.989","0.989"
"22670","0.989","0.989","0.989"
"22671","0.99","0.99","0.99"
"22673","0.989","0.989","0.989"
"22678","0.989","0.989","0.989"
"22681","0.988","0.988","0.988"
"22684","0.99","0.99","0.99"
"22686","0.987","0.987","0.987"
"22691","0.989","0.989","0.989"
"22692","0.989","0.989","0.989"
"22698","0.991","0.991","0.991"
"22701","0.991","0.991","0.991"
"22705","0.99","0.99","0.99"
"22706","0.988","0.988","0.988"
"22709","0.988","0.988","0.988"
"22710","0.988","0.988","0.988"
"22711","0.989","0.989","0.989"
"22714","0.989","0.989","0.989"
"22723","0.989","0.989","0.989"
"22733","0.99","0.99","0.99"
"22747","0.99","0.99","0.99"
"22750","0.99","0.99","0.99"
"22751","0.989","0.989","0.989"
"22754","0.989","0.989","0.989"
"22757","0.99","0.99","0.99"
"22763","0.989","0.989","0.989"
"22765","0.99","0.99","0.99"
"22766","0.99","0.99","0.99"
"22768","0.99","0.99","0.99"
"22769","0.99","0.99","0.99"
"22771","0.99","0.99","0.99"
"22772","0.99","0.99","0.99"
"22773","0.99","0.99","0.99"
"22779","0.99","0.99","0.99"
"22780","0.99","0.99","0.99"
"22784","0.99","0.99","0.99"
"22787","0.988","0.988","0.988"
"22788","0.99","0.99","0.99"
"22790","0.99","0.99","0.99"
"22791","0.99","0.99","0.99"
"22792","0.989","0.989","0.989"
"22796","0.99","0.99","0.99"
"22797","0.989","0.989","0.989"
"22798","0.99","0.99","0.99"
"22806","0.99","0.99","0.99"
"22809","0.99","0.99","0.99"
"22811","0.99","0.99","0.99"
"22815","0.991","0.991","0.991"
"22829","0.989","0.989","0.989"
"22830","0.991","0.991","0.991"
"22833","0.991","0.991","0.991"
"22835","0.989","0.989","0.989"
"22836","0.989","0.989","0.989"
"22838","0.989","0.989","0.989"
"22839","0.99","0.99","0.99"
"22842","0.99","0.99","0.99"
"22843","0.989","0.989","0.989"
"22849","0.991","0.991","0.991"
"22850","0.99","0.99","0.99"
"22851","0.991","0.991","0.991"
"22852","0.988","0.988","0.988"
"22854","0.99","0.99","0.99"
"22855","0.988","0.988","0.988"
"22862","0.989","0.989","0.989"
"22863","0.989","0.989","0.989"
"22872","0.988","0.988","0.988"
"22875","0.989","0.989","0.989"
"22877","0.989","0.989","0.989"
"22878","0.988","0.988","0.988"
"22880","0.99","0.99","0.99"
"22881","0.988","0.988","0.988"
"22884","0.99","0.99","0.99"
"22887","0.99","0.99","0.99"
"22888","0.988","0.988","0.988"
"22891","0.989","0.989","0.989"
"22894","0.989","0.989","0.989"
"22895","0.99","0.99","0.99"
"22896","0.991","0.991","0.991"
"22899","0.991","0.991","0.991"
"22903","0.991","0.991","0.991"
"22909","0.992","0.992","0.992"
"22912","0.99","0.99","0.99"
"22915","0.99","0.99","0.99"
"22916","0.99","0.99","0.99"
"22917","0.987","0.987","0.987"
"22919","0.99","0.99","0.99"
"22920","0.991","0.991","0.991"
"22921","0.99","0.99","0.99"
"22928","0.991","0.991","0.991"
"22933","0.99","0.99","0.99"
"22936","0.988","0.988","0.988"
"22937","0.99","0.99","0.99"
"22938","0.989","0.989","0.989"
"22940","0.991","0.991","0.991"
"22941","0.988","0.988","0.988"
"22942","0.991","0.991","0.991"
"22945","0.991","0.991","0.991"
"22947","0.991","0.991","0.991"
"22948","0.99","0.99","0.99"
"22949","0.99","0.99","0.99"
"22953","0.991","0.991","0.991"
"22961","0.991","0.991","0.991"
"22962","0.988","0.988","0.988"
"22964","0.991","0.991","0.991"
"22968","0.989","0.989","0.989"
"22969","0.989","0.989","0.989"
"22974","0.99","0.99","0.99"
"22976","0.989","0.989","0.989"
"22977","0.988","0.988","0.988"
"22981","0.99","0.99","0.99"
"22982","0.99","0.99","0.99"
"22984","0.99","0.99","0.99"
"22986","0.99","0.99","0.99"
"22989","0.991","0.991","0.991"
"22992","0.991","0.991","0.991"
"23000","0.005","0.005","0.005"
"23001","0.36","0.36","0.36"
"23002","0.539","0.539","0.539"
"23003","0.542","0.542","0.542"
"23006","0.548","0.548","0.548"
"23007","0.529","0.529","0.529"
"23008","0.563","0.563","0.563"
"23011","0.559","0.559","0.559"
"23012","0.582","0.582","0.582"
"23017","0.705","0.705","0.705"
"23020","0.94","0.94","0.94"
"23022","0.973","0.973","0.973"
"23026","0.981","0.981","0.981"
"23027","0.982","0.982","0.982"
"23033","0.842","0.842","0.842"
"23041","0.983","0.983","0.983"
"23042","0.986","0.986","0.986"
"23048","0.986","0.986","0.986"
"23050","0.987","0.987","0.987"
"23054","0.985","0.985","0.985"
"23057","0.985","0.985","0.985"
"23059","0.986","0.986","0.986"
"23060","0.987","0.987","0.987"
"23064","0.986","0.986","0.986"
"23065","0.987","0.987","0.987"
"23069","0.987","0.987","0.987"
"23071","0.987","0.987","0.987"
"23074","0.988","0.988","0.988"
"23075","0.989","0.989","0.989"
"23078","0.988","0.988","0.988"
"23082","0.989","0.989","0.989"
"23084","0.933","0.933","0.933"
"23089","0.822","0.822","0.822"
"23092","0.975","0.975","0.975"
"23096","0.987","0.987","0.987"
"23098","0.987","0.987","0.987"
"23099","0.987","0.987","0.987"
"23100","0.989","0.989","0.989"
"23102","0.988","0.988","0.988"
"23104","0.99","0.99","0.99"
"23106","0.991","0.991","0.991"
"23112","0.99","0.99","0.99"
"23115","0.99","0.99","0.99"
"23118","0.99","0.99","0.99"
"23126","0.99","0.99","0.99"
"23127","0.991","0.991","0.991"
"23128","0.99","0.99","0.99"
"23130","0.99","0.99","0.99"
"23131","0.989","0.989","0.989"
"23136","0.99","0.99","0.99"
"23139","0.989","0.989","0.989"
"23140","0.991","0.991","0.991"
"23142","0.99","0.99","0.99"
"23145","0.989","0.989","0.989"
"23146","0.989","0.989","0.989"
"23152","0.99","0.99","0.99"
"23155","0.99","0.99","0.99"
"23157","0.99","0.99","0.99"
"23158","0.99","0.99","0.99"
"23165","0.99","0.99","0.99"
"23167","0.99","0.99","0.99"
"23170","0.99","0.99","0.99"
"23171","0.99","0.99","0.99"
"23173","0.989","0.989","0.989"
"23174","0.99","0.99","0.99"
"23176","0.99","0.99","0.99"
"23179","0.99","0.99","0.99"
"23180","0.99","0.99","0.99"
"23181","0.99","0.99","0.99"
"23187","0.99","0.99","0.99"
"23189","0.99","0.99","0.99"
"23191","0.99","0.99","0.99"
"23192","0.99","0.99","0.99"
"23194","0.99","0.99","0.99"
"23201","0.99","0.99","0.99"
"23204","0.99","0.99","0.99"
"23208","0.989","0.989","0.989"
"23210","0.99","0.99","0.99"
"23216","0.99","0.99","0.99"
"23218","0.989","0.989","0.989"
"23222","0.989","0.989","0.989"
"23223","0.989","0.989","0.989"
"23228","0.99","0.99","0.99"
"23231","0.99","0.99","0.99"
"23232","0.99","0.99","0.99"
"23235","0.989","0.989","0.989"
"23237","0.99","0.99","0.99"
"23238","0.99","0.99","0.99"
"23239","0.99","0.99","0.99"
"23242","0.99","0.99","0.99"
"23249","0.989","0.989","0.989"
"23250","0.989","0.989","0.989"
"23259","0.989","0.989","0.989"
"23260","0.989","0.989","0.989"
"23266","0.989","0.989","0.989"
"23271","0.989","0.989","0.989"
"23275","0.99","0.99","0.99"
"23277","0.99","0.99","0.99"
"23278","0.989","0.989","0.989"
"23280","0.989","0.989","0.989"
"23281","0.99","0.99","0.99"
"23284","0.99","0.99","0.99"
"23289","0.99","0.99","0.99"
"23290","0.99","0.99","0.99"
"23291","0.989","0.989","0.989"
"23293","0.99","0.99","0.99"
"23299","0.99","0.99","0.99"
"23303","0.989","0.989","0.989"
"23308","0.99","0.99","0.99"
"23309","0.99","0.99","0.99"
"23314","0.99","0.99","0.99"
"23318","0.99","0.99","0.99"
"23322","0.99","0.99","0.99"
"23326","0.745","0.745","0.745"
"23329","0.908","0.908","0.908"
"23331","0.982","0.982","0.982"
"23332","0.981","0.981","0.981"
"23335","0.987","0.987","0.987"
"23340","0.989","0.989","0.989"
"23341","0.989","0.989","0.989"
"23342","0.989","0.989","0.989"
"23353","0.99","0.99","0.99"
"23357","0.99","0.99","0.99"
"23359","0.99","0.99","0.99"
"23360","0.99","0.99","0.99"
"23366","0.99","0.99","0.99"
"23367","0.99","0.99","0.99"
"23371","0.99","0.99","0.99"
"23372","0.99","0.99","0.99"
"23373","0.99","0.99","0.99"
"23374","0.99","0.99","0.99"
"23375","0.99","0.99","0.99"
"23377","0.99","0.99","0.99"
"23379","0.99","0.99","0.99"
"23380","0.99","0.99","0.99"
"23382","0.99","0.99","0.99"
"23384","0.99","0.99","0.99"
"23385","0.99","0.99","0.99"
"23392","0.99","0.99","0.99"
"23400","0.99","0.99","0.99"
"23405","0.99","0.99","0.99"
"23407","0.99","0.99","0.99"
"23411","0.99","0.99","0.99"
"23412","0.99","0.99","0.99"
"23413","0.991","0.991","0.991"
"23415","0.99","0.99","0.99"
"23417","0.99","0.99","0.99"
"23418","0.99","0.99","0.99"
"23422","0.99","0.99","0.99"
"23427","0.99","0.99","0.99"
"23428","0.99","0.99","0.99"
"23430","0.99","0.99","0.99"
"23438","0.989","0.989","0.989"
"23443","0.99","0.99","0.99"
"23444","0.99","0.99","0.99"
"23445","0.99","0.99","0.99"
"23446","0.989","0.989","0.989"
"23447","0.99","0.99","0.99"
"23449","0.99","0.99","0.99"
"23450","0.99","0.99","0.99"
"23457","0.99","0.99","0.99"
"23463","0.99","0.99","0.99"
"23466","0.99","0.99","0.99"
"23472","0.99","0.99","0.99"
"23481","0.987","0.987","0.987"
"23487","0.99","0.99","0.99"
"23490","0.99","0.99","0.99"
"23492","0.99","0.99","0.99"
"23495","0.989","0.989","0.989"
"23496","0.99","0.99","0.99"
"23497","0.99","0.99","0.99"
"23499","0.988","0.988","0.988"
"23509","0.858","0.858","0.858"
"23510","0.922","0.922","0.922"
"23513","0.987","0.987","0.987"
"23514","0.988","0.988","0.988"
"23515","0.987","0.987","0.987"
"23519","0.99","0.99","0.99"
"23520","0.99","0.99","0.99"
"23521","0.991","0.991","0.991"
"23522","0.99","0.99","0.99"
"23524","0.991","0.991","0.991"
"23527","0.99","0.99","0.99"
"23530","0.991","0.991","0.991"
"23532","0.991","0.991","0.991"
"23533","0.991","0.991","0.991"
"23535","0.991","0.991","0.991"
"23540","0.991","0.991","0.991"
"23543","0.991","0.991","0.991"
"23544","0.991","0.991","0.991"
"23556","0.991","0.991","0.991"
"23557","0.991","0.991","0.991"
"23558","0.991","0.991","0.991"
"23560","0.991","0.991","0.991"
"23561","0.991","0.991","0.991"
"23562","0.991","0.991","0.991"
"23563","0.991","0.991","0.991"
"23565","0.991","0.991","0.991"
"23566","0.991","0.991","0.991"
"23569","0.991","0.991","0.991"
"23571","0.991","0.991","0.991"
"23579","0.991","0.991","0.991"
"23580","0.991","0.991","0.991"
"23584","0.99","0.99","0.99"
"23588","0.991","0.991","0.991"
"23589","0.991","0.991","0.991"
"23590","0.991","0.991","0.991"
"23592","0.99","0.99","0.99"
"23593","0.99","0.99","0.99"
"23600","0.991","0.991","0.991"
"23601","0.991","0.991","0.991"
"23604","0.991","0.991","0.991"
"23608","0.99","0.99","0.99"
"23612","0.99","0.99","0.99"
"23614","0.991","0.991","0.991"
"23618","0.991","0.991","0.991"
"23620","0.991","0.991","0.991"
"23624","0.991","0.991","0.991"
"23625","0.991","0.991","0.991"
"23630","0.991","0.991","0.991"
"23632","0.991","0.991","0.991"
"23633","0.991","0.991","0.991"
"23634","0.991","0.991","0.991"
"23635","0.991","0.991","0.991"
"23636","0.992","0.992","0.992"
"23638","0.991","0.991","0.991"
"23640","0.99","0.99","0.99"
"23647","0.991","0.991","0.991"
"23651","0.991","0.991","0.991"
"23652","0.99","0.99","0.99"
"23653","0.991","0.991","0.991"
"23655","0.989","0.989","0.989"
"23658","0.99","0.99","0.99"
"23659","0.99","0.99","0.99"
"23664","0.991","0.991","0.991"
"23676","0.99","0.99","0.99"
"23683","0.99","0.99","0.99"
"23691","0.99","0.99","0.99"
"23693","0.989","0.989","0.989"
"23695","0.991","0.991","0.991"
"23699","0.991","0.991","0.991"
"23703","0.99","0.99","0.99"
"23705","0.99","0.99","0.99"
"23707","0.991","0.991","0.991"
"23715","0.991","0.991","0.991"
"23725","0.99","0.99","0.99"
"23734","0.99","0.99","0.99"
"23735","0.99","0.99","0.99"
"23736","0.99","0.99","0.99"
"23741","0.99","0.99","0.99"
"23743","0.99","0.99","0.99"
"23745","0.99","0.99","0.99"
"23751","0.989","0.989","0.989"
"23756","0.991","0.991","0.991"
"23757","0.991","0.991","0.991"
"23761","0.991","0.991","0.991"
"23762","0.991","0.991","0.991"
"23763","0.991","0.991","0.991"
"23778","0.99","0.99","0.99"
"23781","0.99","0.99","0.99"
"23782","0.99","0.99","0.99"
"23784","0.991","0.991","0.991"
"23786","0.991","0.991","0.991"
"23789","0.991","0.991","0.991"
"23793","0.99","0.99","0.99"
"23796","0.99","0.99","0.99"
"23798","0.989","0.989","0.989"
"23800","0.99","0.99","0.99"
"23809","0.99","0.99","0.99"
"23810","0.991","0.991","0.991"
"23812","0.99","0.99","0.99"
"23822","0.99","0.99","0.99"
"23824","0.99","0.99","0.99"
"23828","0.702","0.702","0.702"
"23830","0.768","0.768","0.768"
"23835","0.985","0.985","0.985"
"23836","0.986","0.986","0.986"
"23837","0.986","0.986","0.986"
"23839","0.986","0.986","0.986"
"23840","0.987","0.987","0.987"
"23849","0.987","0.987","0.987"
"23851","0.988","0.988","0.988"
"23855","0.987","0.987","0.987"
"23860","0.988","0.988","0.988"
"23862","0.989","0.989","0.989"
"23863","0.989","0.989","0.989"
"23864","0.988","0.988","0.988"
"23865","0.988","0.988","0.988"
"23868","0.989","0.989","0.989"
"23869","0.989","0.989","0.989"
"23872","0.988","0.988","0.988"
"23875","0.989","0.989","0.989"
"23879","0.987","0.987","0.987"
"23880","0.991","0.991","0.991"
"23886","0.988","0.988","0.988"
"23889","0.988","0.988","0.988"
"23890","0.991","0.991","0.991"
"23895","0.989","0.989","0.989"
"23896","0.988","0.988","0.988"
"23897","0.99","0.99","0.99"
"23900","0.992","0.992","0.992"
"23902","0.988","0.988","0.988"
"23903","0.989","0.989","0.989"
"23908","0.987","0.987","0.987"
"23909","0.989","0.989","0.989"
"23910","0.989","0.989","0.989"
"23911","0.989","0.989","0.989"
"23914","0.989","0.989","0.989"
"23915","0.988","0.988","0.988"
"23916","0.989","0.989","0.989"
"23919","0.989","0.989","0.989"
"23923","0.99","0.99","0.99"
"23927","0.99","0.99","0.99"
"23928","0.989","0.989","0.989"
"23929","0.989","0.989","0.989"
"23930","0.989","0.989","0.989"
"23933","0.99","0.99","0.99"
"23934","0.988","0.988","0.988"
"23935","0.988","0.988","0.988"
"23938","0.991","0.991","0.991"
"23939","0.989","0.989","0.989"
"23947","0.989","0.989","0.989"
"23952","0.99","0.99","0.99"
"23953","0.989","0.989","0.989"
"23954","0.988","0.988","0.988"
"23956","0.989","0.989","0.989"
"23958","0.99","0.99","0.99"
"23959","0.989","0.989","0.989"
"23964","0.989","0.989","0.989"
"23966","0.989","0.989","0.989"
"23976","0.988","0.988","0.988"
"23979","0.988","0.988","0.988"
"23980","0.989","0.989","0.989"
"23982","0.989","0.989","0.989"
"23983","0.989","0.989","0.989"
"23984","0.989","0.989","0.989"
"23991","0.988","0.988","0.988"
"23994","0.989","0.989","0.989"
"24001","0.448","0.448","0.448"
"24002","0.491","0.491","0.491"
"24008","0.575","0.575","0.575"
"24012","0.566","0.566","0.566"
"24013","0.598","0.598","0.598"
"24015","0.68","0.68","0.68"
"24016","0.759","0.759","0.759"
"24019","0.898","0.898","0.898"
"24022","0.923","0.923","0.923"
"24023","0.939","0.939","0.939"
"24024","0.967","0.967","0.967"
"24025","0.919","0.919","0.919"
"24032","0.97","0.97","0.97"
"24033","0.933","0.933","0.933"
"24040","0.911","0.911","0.911"
"24044","0.98","0.98","0.98"
"24046","0.983","0.983","0.983"
"24047","0.982","0.982","0.982"
"24048","0.983","0.983","0.983"
"24049","0.985","0.985","0.985"
"24054","0.985","0.985","0.985"
