"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"1625","0.987","0.987","0.987"
"1633","0.99","0.99","0.99"
"1635","0.989","0.989","0.989"
"1636","0.987","0.987","0.987"
"1637","0.986","0.986","0.986"
"1638","0.989","0.989","0.989"
"1642","0.989","0.989","0.989"
"1644","0.988","0.988","0.988"
"1651","0.989","0.989","0.989"
"1654","0.99","0.99","0.99"
"1655","0.991","0.991","0.991"
"1657","0.99","0.99","0.99"
"1659","0.989","0.989","0.989"
"1663","0.991","0.991","0.991"
"1670","0.989","0.989","0.989"
"1671","0.986","0.986","0.986"
"1673","0.99","0.99","0.99"
"1675","0.989","0.989","0.989"
"1677","0.991","0.991","0.991"
"1678","0.989","0.989","0.989"
"1685","0.99","0.99","0.99"
"1688","0.991","0.991","0.991"
"1692","0.989","0.989","0.989"
"1694","0.991","0.991","0.991"
"1695","0.991","0.991","0.991"
"1696","0.988","0.988","0.988"
"1698","0.988","0.988","0.988"
"1701","0.991","0.991","0.991"
"1706","0.991","0.991","0.991"
"1710","0.989","0.989","0.989"
"1712","0.99","0.99","0.99"
"1714","0.99","0.99","0.99"
"1718","0.991","0.991","0.991"
"1720","0.992","0.992","0.992"
"1723","0.99","0.99","0.99"
"1725","0.988","0.988","0.988"
"1726","0.99","0.99","0.99"
"1727","0.99","0.99","0.99"
"1728","0.989","0.989","0.989"
"1730","0.987","0.987","0.987"
"1733","0.992","0.992","0.992"
"1734","0.991","0.991","0.991"
"1735","0.989","0.989","0.989"
"1737","0.989","0.989","0.989"
"1742","0.99","0.99","0.99"
"1746","0.993","0.993","0.993"
"1748","0.989","0.989","0.989"
"1750","0.99","0.99","0.99"
"1752","0.991","0.991","0.991"
"1753","0.99","0.99","0.99"
"1754","0.99","0.99","0.99"
"1755","0.991","0.991","0.991"
"1756","0.989","0.989","0.989"
"1761","0.988","0.988","0.988"
"1764","0.992","0.992","0.992"
"1765","0.991","0.991","0.991"
"1767","0.989","0.989","0.989"
"1771","0.992","0.992","0.992"
"1772","0.991","0.991","0.991"
"1780","0.989","0.989","0.989"
"1783","0.99","0.99","0.99"
"1787","0.991","0.991","0.991"
"1794","0.991","0.991","0.991"
"1798","0.991","0.991","0.991"
"1800","0.99","0.99","0.99"
"1801","0.989","0.989","0.989"
"1802","0.991","0.991","0.991"
"1805","0.987","0.987","0.987"
"1807","0.983","0.983","0.983"
"1813","0.99","0.99","0.99"
"1819","0.99","0.99","0.99"
"1823","0.99","0.99","0.99"
"1827","0.991","0.991","0.991"
"1830","0.989","0.989","0.989"
"1832","0.991","0.991","0.991"
"1835","0.991","0.991","0.991"
"1836","0.992","0.992","0.992"
"1837","0.99","0.99","0.99"
"1839","0.99","0.99","0.99"
"1840","0.99","0.99","0.99"
"1841","0.99","0.99","0.99"
"1850","0.99","0.99","0.99"
"1853","0.991","0.991","0.991"
"1855","0.991","0.991","0.991"
"1860","0.99","0.99","0.99"
"1861","0.991","0.991","0.991"
"1865","0.99","0.99","0.99"
"1871","0.991","0.991","0.991"
"1872","0.992","0.992","0.992"
"1876","0.992","0.992","0.992"
"1878","0.99","0.99","0.99"
"1880","0.992","0.992","0.992"
"1881","0.992","0.992","0.992"
"1883","0.99","0.99","0.99"
"1884","0.99","0.99","0.99"
"1886","0.991","0.991","0.991"
"1890","0.99","0.99","0.99"
"1895","0.989","0.989","0.989"
"1901","0.99","0.99","0.99"
"1904","0.991","0.991","0.991"
"1906","0.991","0.991","0.991"
"1911","0.992","0.992","0.992"
"1912","0.991","0.991","0.991"
"1913","0.99","0.99","0.99"
"1915","0.99","0.99","0.99"
"1916","0.991","0.991","0.991"
"1919","0.992","0.992","0.992"
"1921","0.99","0.99","0.99"
"1932","0.991","0.991","0.991"
"1933","0.991","0.991","0.991"
"1934","0.993","0.993","0.993"
"1937","0.992","0.992","0.992"
"1945","0.991","0.991","0.991"
"1947","0.99","0.99","0.99"
"1950","0.991","0.991","0.991"
"1951","0.992","0.992","0.992"
"1954","0.992","0.992","0.992"
"1955","0.992","0.992","0.992"
"1956","0.99","0.99","0.99"
"1959","0.99","0.99","0.99"
"1960","0.991","0.991","0.991"
"1963","0.992","0.992","0.992"
"1965","0.991","0.991","0.991"
"1979","0.992","0.992","0.992"
"1980","0.99","0.99","0.99"
"1981","0.991","0.991","0.991"
"1983","0.992","0.992","0.992"
"1988","0.991","0.991","0.991"
"1992","0.95","0.95","0.95"
"1995","0.922","0.922","0.922"
"1997","0.956","0.956","0.956"
