"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX"
"172","0.33035","0.33035","0.33035","0.31385","0.31385","0.31385","0.2375","0.2375","0.2375"
"173","0.32945","0.32945","0.32945","0.31545","0.31545","0.31545","0.2435","0.2435","0.2435"
"174","0.33","0.33","0.33","0.3151","0.3151","0.3151","0.2475","0.2475","0.2475"
"175","0.2","0.2","0.2","0.2064","0.2064","0.2064","0.009","0.009","0.009"
"176","0.2878","0.2878","0.2878","0.2502","0.2502","0.2502","0.1015","0.1015","0.1015"
"177","0.29765","0.29765","0.29765","0.26495","0.26495","0.26495","0.1565","0.1565","0.1565"
"178","0.30355","0.30355","0.30355","0.27065","0.27065","0.27065","0.174","0.174","0.174"
"179","0.3046","0.3046","0.3046","0.27185","0.27185","0.27185","0.2135","0.2135","0.2135"
"180","0.30395","0.30395","0.30395","0.27305","0.27305","0.27305","0.2245","0.2245","0.2245"
"181","0.303","0.303","0.303","0.2742","0.2742","0.2742","0.229","0.229","0.229"
"182","0.3041","0.3041","0.3041","0.2756","0.2756","0.2756","0.2365","0.2365","0.2365"
"183","0.30295","0.30295","0.30295","0.27765","0.27765","0.27765","0.2405","0.2405","0.2405"
"184","0.3028","0.3028","0.3028","0.27575","0.27575","0.27575","0.2475","0.2475","0.2475"
"185","0.30285","0.30285","0.30285","0.27795","0.27795","0.27795","0.246","0.246","0.246"
"186","0.30215","0.30215","0.30215","0.27815","0.27815","0.27815","0.2615","0.2615","0.2615"
"187","0.3015","0.3015","0.3015","0.27955","0.27955","0.27955","0.2475","0.2475","0.2475"
"188","0.3021","0.3021","0.3021","0.27665","0.27665","0.27665","0.257","0.257","0.257"
"189","0.2994","0.2994","0.2994","0.27875","0.27875","0.27875","0.257","0.257","0.257"
"190","0.2987","0.2987","0.2987","0.2776","0.2776","0.2776","0.261","0.261","0.261"
"191","0.2973","0.2973","0.2973","0.27715","0.27715","0.27715","0.2605","0.2605","0.2605"
"192","0.2966","0.2966","0.2966","0.27635","0.27635","0.27635","0.2605","0.2605","0.2605"
"193","0.2969","0.2969","0.2969","0.2765","0.2765","0.2765","0.2625","0.2625","0.2625"
"194","0.2969","0.2969","0.2969","0.2783","0.2783","0.2783","0.2725","0.2725","0.2725"
"195","0.296","0.296","0.296","0.2775","0.2775","0.2775","0.277","0.277","0.277"
"196","0.2959","0.2959","0.2959","0.2783","0.2783","0.2783","0.269","0.269","0.269"
